contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gemeentekantoor,0294::SB1,7101 GH,1577,1094,22,5,0,0,2,1038,81,0,0,0,0,0,1121,240,217,148,159,213,35,64,18
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Vrije Basisschool de Esch,0294::SB2,7101 JH,1564,787,22,5,0,0,0,760,54,0,0,0,0,0,814,161,148,148,114,158,15,29,14
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Regionaal Verpleeghuis de Pronsweide,0294::SB3,7101 BH,1381,830,19,0,0,3,0,768,84,0,0,3,0,0,852,164,114,152,145,185,18,35,17
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau o.b.s. De Kolibrie,0294::SB4,7101 VG,2182,745,20,4,0,0,0,711,58,0,0,0,0,0,769,123,100,104,169,141,30,54,24
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Woonzorgcentrum De Pelkwijk,0294::SB5,7101 WL,2131,886,14,6,0,0,0,852,53,0,1,0,1,0,905,181,172,98,149,177,27,66,16
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Daltonschool de Vlier,0294::SB6,7101 TR,1910,790,18,1,0,0,0,742,68,1,0,1,0,0,810,163,109,123,154,162,24,40,15
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Woonzorgcentrum De Berkhof,0294::SB7,7103 VX,1635,797,12,3,2,0,0,777,33,0,2,0,0,0,810,162,91,104,142,198,19,58,23
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau o.b.s. Bargerpaske,0294::SB8,7103 AW,1629,1236,21,1,0,1,0,1159,98,0,1,0,0,0,1257,213,199,164,241,298,25,80,16
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau o.b.s. De Schakel,0294::SB9,7102 CN,2223,992,20,11,0,0,0,933,90,0,0,0,0,0,1023,213,143,115,189,217,38,57,20
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Verenigingsgebouw De Eendracht,0294::SB10,7104 AK,1175,698,4,5,0,1,0,643,63,0,1,0,0,0,706,267,49,147,37,160,9,14,15
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Receptie 'camping de Twee Bruggen',0294::SB11,7109 AH,722,397,12,1,0,0,0,365,45,0,0,0,0,0,410,146,60,83,38,38,3,15,14
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Emmaschool Henxel,0294::SB12,7113 AE,858,537,5,1,0,3,0,492,47,0,4,0,1,0,539,126,62,119,32,158,9,16,15
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Zalencentrum Reuselink,0294::SB13,7115 AG,1516,739,15,0,0,0,0,687,67,0,0,0,0,0,754,172,150,193,49,123,20,13,19
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Streekziekenhuis Koningin Beatrix,0294::SB14,7101 BN,1120,496,7,5,0,0,0,463,44,0,1,0,1,0,507,104,77,99,69,106,9,25,7
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Zalencentrum De Harmonie,0294::SB15,7101 AJ,1814,733,10,2,0,0,0,689,56,0,0,0,0,0,745,165,115,144,120,130,16,32,11
Rijn en IJssel,Winterswijk,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Villa Mondriaan,0294::SB16,7101 NC,0,122,2,2,0,0,2,115,9,0,0,0,0,0,126,18,30,14,18,29,3,6,4
