contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stadhuis,0119::SB1,,1631,1015,23,5,0,0,0,978,65,0,0,0,0,0,1043,97,191,23,208,145,97,176,78
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Cultureel Centrum de Plataan (Huiskamer),0119::SB2,,1074,633,9,3,0,0,0,607,38,0,0,0,0,0,645,53,148,6,134,91,52,97,52
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Oosterboerschool,0119::SB3,,1296,651,15,1,0,0,0,603,64,0,0,0,0,0,667,28,108,11,151,85,85,134,49
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau School de Toermalijn,0119::SB4,,1139,591,12,1,0,0,0,556,48,0,0,0,0,0,604,31,162,12,134,69,35,109,39
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorgcentrum Meeuwenborgh,0119::SB5,,566,276,7,2,0,0,0,264,21,0,0,0,0,0,285,42,33,5,59,56,25,39,17
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorgcentrum Irene,0119::SB6,,1234,680,10,2,0,1,0,649,42,0,1,0,0,0,691,49,170,5,149,65,37,131,74
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Brandweerkazerne,0119::SB7,,1428,696,5,6,0,0,0,653,54,0,0,0,0,0,707,67,113,13,152,115,65,120,51
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Anne Frankschool,0119::SB8,,1519,906,11,2,0,0,0,848,71,0,0,0,0,0,919,66,189,15,170,126,99,144,97
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Beatrixschool,0119::SB9,,1429,515,11,6,0,0,0,494,38,0,0,0,0,0,532,54,57,9,122,98,58,68,49
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De MensA activeringscentrum,0119::SB10,,1577,690,4,7,0,0,0,665,37,0,0,1,0,0,702,87,86,11,160,108,73,131,34
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Clubhuis Blue Devils,0119::SB11,,2090,1186,13,0,0,1,0,1082,116,0,1,0,0,0,1198,42,314,21,225,135,175,179,95
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorgcentrum Reestoord,0119::SB12,,1085,535,12,5,0,0,0,511,40,0,1,0,1,0,551,63,72,11,112,89,46,109,33
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Het Anker (voormalig A.B.C.),0119::SB13,,1382,692,12,2,0,0,0,652,54,0,0,0,0,0,706,48,143,21,121,83,80,93,103
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau MFK Het Palet,0119::SB14,,1479,668,14,1,0,0,0,629,53,0,1,0,1,0,682,67,82,10,146,107,71,139,46
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Wijkservicepunt De Koerberg,0119::SB16,,1461,1026,23,1,0,0,0,986,64,0,0,0,0,0,1050,120,135,11,235,160,109,180,76
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Wijkcentrum Oosterboer,0119::SB17,,1488,1008,19,5,0,0,0,958,74,0,0,0,0,0,1032,86,170,11,243,119,110,171,98
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Het ERf (H. van Boeijen),0119::SB18,,1482,1050,9,0,0,0,0,1057,2,0,0,0,0,0,1059,56,235,15,241,118,117,195,73
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Verpleeghuis Reggersoord,0119::SB19,,391,187,2,2,0,0,0,165,26,0,0,0,0,0,191,14,52,8,39,32,8,20,14
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Mobiel Stembureau,0119::SB20,,0,192,4,1,0,0,0,181,16,0,0,0,0,0,197,2,34,1,55,18,20,42,20
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorgcentrum Het Kerspel,0119::SB21,,1441,865,20,7,0,0,0,822,70,0,0,0,0,0,892,49,180,4,127,98,55,103,249
Drents Overijsselse Delta,Meppel,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuis De Schalle,0119::SB22,,1458,937,14,2,0,1,0,886,66,0,1,0,0,0,952,57,209,24,154,109,51,100,233
