contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Stadhuis Naarden,1942::SB1,1411EA	,1342,923,13,4,0,7,0,840,93,0,7,0,0,0,933,325,82,122,94,143,50,47,5,25,1,1,28
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Tweemaster,1942::SB2,1411BN	,1563,940,19,2,0,3,0,844,114,0,3,0,0,0,958,276,129,96,83,154,36,65,9,49,2,0,41
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Schakel,1942::SB3,1411VE	,1659,849,14,7,0,0,0,799,71,0,0,0,0,0,870,120,134,96,102,133,52,108,13,39,5,8,39
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Naarderheem,1942::SB4,1411HB	,1548,1084,11,3,0,0,0,972,126,0,0,0,0,0,1098,428,77,115,81,203,37,49,4,27,1,1,61
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Godelindeschool,1942::SB5,1412HD	,1757,1257,10,1,0,0,0,1075,193,0,0,0,0,0,1268,662,92,167,68,149,35,30,3,20,0,0,31
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Wooncentrum Ravelijn,1942::SB6,1412AX	,1027,712,16,0,0,0,0,650,78,0,0,0,0,0,728,264,76,87,73,73,40,37,6,20,5,1,30
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Smallsteps Ridderzaal,1942::SB7,1412CN	,1484,961,14,2,0,0,0,873,104,0,0,0,0,0,977,304,156,151,97,100,48,38,3,29,0,3,32
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Bonnet,1942::SB8,1411CN	,1575,713,14,2,0,0,0,661,68,0,0,0,0,0,729,206,76,82,60,138,23,58,5,17,4,2,42
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Comeniusschool,1942::SB9,1412HD	,1363,822,8,0,0,0,1,769,60,0,0,0,0,0,830,199,134,123,81,112,45,49,4,28,0,1,46
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Gemeentehuis GM,1942::SB10,1404EP	,1899,1410,29,4,0,0,4,1304,141,6,0,6,0,0,1449,386,184,236,201,110,85,90,13,36,2,13,54
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Vrije Evangelische Gemeente,1942::SB11,1401GC	,1693,1077,9,0,0,0,0,937,149,0,0,0,0,0,1086,416,105,179,105,92,44,37,7,26,6,8,52
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zorgcentrum Huize Godelinde,1942::SB12,1401CM	,1564,917,23,7,0,0,0,849,101,3,0,3,0,0,950,339,106,115,84,99,51,64,7,21,2,0,29
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Hoeksteen,1942::SB13,1402EK	,1524,1273,20,5,0,0,0,1169,129,0,0,0,0,0,1298,451,149,233,123,98,79,53,5,30,1,5,46
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Café De Viersprong,1942::SB14,1402AG	,1666,1003,3,2,0,1,0,920,87,0,1,0,0,0,1007,197,122,172,162,83,73,82,14,49,2,8,39
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Talamander,1942::SB15,1402RW	,1634,718,7,0,0,0,0,644,81,0,0,0,0,0,725,131,93,99,113,61,47,89,15,27,2,5,36
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Julianaschool,1942::SB16,1403BE	,1907,1018,22,3,0,0,1,947,95,0,0,0,0,0,1043,283,125,149,131,99,43,83,10,36,1,3,55
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Gooise Warande,1942::SB17,1403BR	,1687,549,6,2,0,0,0,510,47,0,0,0,0,0,557,127,70,78,69,59,39,53,7,25,0,1,21
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Trefpunt,1942::SB18,1402CC	,1909,1213,20,2,0,0,0,1137,98,0,0,0,0,0,1235,202,151,191,128,157,58,156,12,52,3,3,100
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Breeduit,1942::SB19,1403NH	,1684,739,13,4,0,0,0,700,56,0,0,0,0,0,756,99,110,106,112,61,42,105,11,27,4,1,61
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zorgcentrum De Antonius Hof,1942::SB20,1403NL	,1597,646,13,7,0,0,0,626,40,0,0,0,0,0,666,65,113,80,94,52,32,103,9,39,6,6,47
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau GGD Gooi en Vechtstreek,1942::SB21,1404GZ	,1678,702,12,5,0,1,1,653,66,0,0,1,0,0,720,197,88,83,95,65,49,46,9,19,1,7,43
"Amstel, Gooi en Vecht",Gooise Meren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Spiegelwijck,1942::SB22,1406RG	,1656,1020,15,4,0,0,0,948,91,0,0,0,0,0,1039,348,118,128,93,100,69,78,8,24,1,6,47
