contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Albertusgebouw,1955::SB1,6942 BE,1656,830,12,3,0,0,0,778,67,0,0,0,0,0,845,169,233,92,104,25,19,65,123
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Ziep,1955::SB2,6941 BH,1636,828,14,0,0,3,0,796,43,0,3,0,0,0,839,163,290,100,100,15,30,54,76
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Albert Schweitzerschool,1955::SB3,6942 VA,2022,1090,19,5,0,0,0,1015,98,0,1,0,1,0,1113,200,319,150,144,30,36,89,122
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Cafe-restaurant Uniek,1955::SB4,6942 EA,2545,1359,23,6,0,0,0,1246,142,0,0,0,0,0,1388,289,377,194,172,26,52,112,137
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gemeentehuis,1955::SB5,6942 GK,1993,644,14,3,0,0,1,588,72,0,0,0,0,0,661,169,143,77,103,15,26,46,65
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Verenigingsgebouw de Zomp,1955::SB6,6941 DM,1448,831,8,6,0,0,0,752,93,0,0,0,0,0,845,213,367,87,47,12,13,30,62
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Verenigingsgebouw de Meikever,1955::SB7,6942 HD,1412,759,8,1,0,12,0,676,104,0,0,12,0,0,780,257,171,89,78,12,19,36,97
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gouden Handen,1955::SB8,7041 AV,2360,1165,31,5,0,0,0,1090,111,0,0,0,0,0,1201,318,172,125,182,48,174,104,42
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau het Willem van den Berghcentrum,1955::SB9,7041 CW,1890,748,25,4,0,0,0,711,66,0,0,0,0,0,777,220,138,57,127,13,96,67,30
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Pastoor Galamaschool,1955::SB10,7041 GL,1635,615,18,2,0,0,0,580,56,1,0,1,0,0,636,104,112,54,117,33,90,72,33
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis Lengel,1955::SB11,7044 AP,1462,656,11,1,0,0,0,598,70,0,0,0,0,0,668,190,90,71,99,17,99,56,34
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis Zeddam,1955::SB12,7038 BX,1023,864,13,2,0,2,0,823,58,0,0,2,0,0,881,267,148,124,116,23,82,57,47
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Kantine voetbalvereniging Stokkum,1955::SB13,7039 CM,987,505,6,0,0,2,0,463,46,0,2,0,0,0,509,183,56,43,116,8,58,25,16
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis De Braempt,1955::SB14,7047 AP,1039,523,15,1,0,0,0,482,57,0,0,0,0,0,539,173,60,73,79,12,41,42,43
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Averhof,1955::SB15,7037 BJ,1446,728,19,3,0,1,0,681,68,0,1,0,0,0,749,236,115,115,66,11,29,63,93
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Partycentrum  De Dèèl,1955::SB16,7037 DH,863,481,3,0,0,0,0,432,52,0,0,0,0,0,484,143,90,85,46,15,24,27,51
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau zaal van 't Kelrehuus,1955::SB17,7035 AW,1217,595,15,4,0,0,0,557,57,0,0,0,0,0,614,241,84,63,68,16,29,38,56
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau clubgebouw voetbalvereniging Azewijn,1955::SB18,7045 AE,603,374,2,0,0,0,0,348,28,0,0,0,0,0,376,167,59,36,33,10,25,16,28
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau hal Waverlo/Meulenvelden,1955::SB19,,1289,733,12,5,0,3,2,703,48,0,0,3,0,0,753,179,222,57,73,12,14,55,121
Rijn en IJssel,Montferland,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Kapel Sydehem,1955::SB20,7038 EN,1258,378,8,2,0,0,0,357,31,0,0,0,0,0,388,114,59,39,64,24,26,20,32
