contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Staatkundig Gereformeerde Partij (SGP),Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,50PLUS,AWP Niet Politiek Wel Deskundig
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Dienstencentrum De Veste,0715::SB1,4531 GV,2240,1083,17,8,0,0,0,1016,92,0,0,0,0,0,1108,135,46,418,71,82,87,57,54,93,40
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Buurtcentrum De Triangel,0715::SB2,4531 CL,1570,435,6,4,0,0,0,407,38,0,0,0,0,0,445,30,9,164,44,29,43,30,14,48,24
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Buurthuis De Kameleon,0715::SB3,4537 RJ,1161,514,10,3,0,0,0,475,53,1,0,1,0,0,528,54,29,172,57,17,58,24,18,69,16
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Sportcentrum Vliegende Vaart,0715::SB4,4537 DH,1629,799,13,7,0,0,1,741,77,0,0,0,0,0,819,97,53,242,54,52,87,50,45,82,37
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Zorgcentrum Bachten Dieke,0715::SB5,4532 BP,1959,1080,16,4,0,1,0,991,113,3,0,4,0,0,1104,169,79,368,94,60,69,61,42,111,27
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau SVRZ De Blide,0715::SB6,,1495,542,10,8,0,2,0,519,43,0,0,2,0,0,562,69,46,175,37,34,65,19,38,41,18
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Buurthuis De Zeemeeuw,0715::SB7,4536 AL,1527,433,4,2,0,0,0,394,45,0,0,0,0,0,439,57,25,129,39,36,42,28,15,56,6
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau SVRZ Ter Schorre,0715::SB8,4536 GD,1888,991,17,8,0,0,0,911,105,0,0,0,0,0,1016,122,48,316,101,29,104,43,51,152,25
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Voormalig Basisschool De Geule,0715::SB9,4535 EV,1817,670,6,4,0,0,0,581,103,0,0,4,0,0,684,85,41,204,50,47,47,43,42,85,26
Scheldestromen,Terneuzen,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Basisschool De Steiger,0715::SB10,4535 ED,1623,883,18,1,0,0,0,790,112,0,0,0,0,0,902,162,50,265,59,57,69,34,55,86,46
