contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,Betaalbaar Water,AWP niet politiek wel deskundig,50PLUS
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Verzorgingscentrum de Hullen,1699::SB1,9301 HW,1417,812,18,1,1,0,0,771,61,0,0,1,0,0,832,241,156,91,43,109,94,30,48
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Gemeentehuis,1699::SB2,9301 AA,1934,1232,22,0,0,0,0,1150,104,0,0,0,0,0,1254,365,192,140,82,222,136,42,53
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Fletcher Hotel Langewold,1699::SB3,9301 NR,1457,906,17,3,7,0,0,861,58,0,7,0,0,0,919,231,163,103,103,86,135,30,55
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Bibliotheek Roden,1699::SB4,9301 AH,1637,792,11,3,0,1,0,760,47,0,0,1,0,0,807,201,162,94,68,80,108,15,64
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau De Open Hof,1699::SB5,9301 SJ,1231,634,3,4,0,0,0,602,39,0,0,0,0,0,641,181,118,70,83,44,94,8,36
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Odbs ""het Valkhof""",1699::SB6,9301 SP,1229,891,13,1,0,4,0,859,50,0,0,4,0,0,909,313,168,67,66,88,97,50,42
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau dienstencentrum Geerties Hoes,1699::SB7,9302 DC,1353,726,13,2,0,0,0,685,56,0,0,0,0,0,741,209,142,97,61,110,62,20,25
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau 't Dörpshuus NijRoon,1699::SB8,9311 PB,1465,998,24,2,0,1,0,930,93,0,1,0,0,0,1023,334,182,74,88,88,115,37,80
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Obs De Poolster,1699::SB9,9311 VA,1592,700,6,3,0,2,0,649,62,0,0,2,0,0,711,231,121,75,66,66,86,26,29
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau cafe het Rode Hert,1699::SB10,9315 PB,626,392,4,0,0,0,0,366,29,0,1,0,1,0,395,152,54,32,13,64,50,13,14
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Cafe De Waag,1699::SB11,9312 PB,883,551,7,0,0,5,0,521,42,0,0,5,0,0,563,194,70,48,52,83,65,7,32
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau 't RAShuys,1699::SB12,9305 TG,735,398,8,0,0,1,0,385,22,0,0,1,0,0,407,130,55,39,30,64,47,17,16
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Ontmoetingscentrum de Brinkhof,1699::SB13,9331 AA,1949,1247,6,9,0,4,0,1161,109,4,0,8,0,0,1270,396,154,211,55,217,106,24,84
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau wooncentrum de Garve,1699::SB14,9331 MB,1612,858,15,0,0,0,0,831,42,0,0,0,0,0,873,266,197,97,22,85,107,29,55
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Het Verenigingsgebouw,1699::SB15,9341 BK,1086,506,6,0,0,1,0,477,36,0,0,1,0,0,513,171,67,95,30,46,41,17,39
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau MFA ""de Schans""",1699::SB16,9342 PH,862,505,5,2,0,0,0,512,0,0,0,0,0,0,512,128,55,101,31,94,59,9,28
Noorderzijlvest,Noordenveld,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau verzorgingscentrum de Hoprank,1699::SB17,9321 CC,2026,1252,22,2,0,3,1,1162,116,0,0,3,0,0,1279,410,220,65,69,178,214,36,60
