contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,Partij voor de Dieren,ChristenUnie-SGP,50PLUS,Trots op Nederland (TROTS)
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Bij Everts,1901::SB1,,1636,1110,19,4,0,0,0,1012,121,0,0,0,0,0,1133,201,190,119,105,66,86,269,56,18
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Doortocht,1901::SB2,,1625,780,6,0,0,1,0,726,59,0,1,0,0,0,785,178,210,62,61,34,69,103,48,15
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Rijngaarde,1901::SB3,,1553,959,9,0,0,0,0,889,79,0,0,0,0,0,968,143,226,74,82,57,58,249,61,9
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Esto,1901::SB4,,1511,795,8,2,0,0,0,697,108,0,0,0,0,0,805,141,158,104,60,40,53,180,47,12
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Goede Herdersschool,1901::SB5,,2258,882,14,2,0,2,0,793,103,0,2,0,0,0,896,152,149,99,85,44,61,230,44,18
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Sporthoeve,1901::SB6,,1650,1047,14,0,0,0,0,955,106,0,0,0,0,0,1061,197,200,112,110,57,84,202,68,17
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Hollandse Boerderij,1901::SB7,,328,75,0,2,2,0,2,66,7,0,2,0,2,0,75,8,25,15,6,3,5,9,4,0
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Reehorst,1901::SB8,,1824,1067,19,2,0,0,0,981,109,2,0,2,0,0,1090,305,202,122,81,74,66,132,69,16
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Ichtuskerk,1901::SB9,,1627,694,13,1,0,0,2,644,62,0,0,0,0,0,708,184,105,83,58,51,48,131,29,5
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Kaag,1901::SB10,,1548,953,11,1,0,1,0,842,122,0,1,0,0,0,964,265,219,122,48,40,42,188,23,6
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Brug,1901::SB11,,1402,1118,9,6,0,3,0,1015,121,0,0,3,0,0,1136,357,199,126,78,104,70,124,55,5
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Consistorie NH-Kerk,1901::SB12,,783,484,1,1,0,0,1,418,67,0,0,0,0,0,486,161,62,48,33,37,45,78,16,4
Rijnland,Bodegraven-Reeuwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Huis van Alles,1901::SB13,,1246,825,12,5,0,0,0,784,58,0,0,0,0,0,842,149,145,108,80,45,77,141,60,20
