contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeentehuis 1,0762::SB1,5751 BE,2197,1261,49,9,0,1,0,1199,119,0,1,0,0,0,1318,235,366,244,149,68,147,52
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Verzorgingshuis De Nieuwenhof,0762::SB2,5751 BL,1958,905,22,3,0,1,0,810,121,0,0,1,0,0,931,307,199,125,84,33,123,34
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Wijkhuis D'n Houtenhoek,0762::SB3,5751 ES,2640,975,30,7,0,1,0,922,91,0,0,1,0,0,1013,205,274,179,96,57,120,44
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Wijkcentrum De Heiakker,0762::SB4,5754 DV,1788,754,25,1,0,0,0,710,70,0,0,0,0,0,780,134,232,131,88,47,100,22
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gerardushuis,0762::SB5,5752 AP,1625,857,29,6,0,0,0,767,125,0,0,0,0,0,892,314,190,199,50,28,48,28
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Openbare basisschool De Bron,0762::SB6,5751 WJ,1552,576,12,4,0,0,0,536,56,0,0,0,0,0,592,81,191,88,97,42,65,12
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Hofke van Marijke,0762::SB7,5753 BE,1693,835,34,5,0,0,0,768,107,1,0,1,0,0,875,220,197,164,94,42,84,34
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau MFA 't Huis Vlierden,0762::SB8,5756 AM,1136,602,33,0,0,0,0,551,84,0,0,0,0,0,635,225,135,110,51,26,43,12
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Peuterspeelzaal Op Stap De Piramide,0762::SB9,5751 VJ,1517,653,19,2,0,0,0,628,46,0,0,0,0,0,674,120,188,81,122,35,75,32
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau S.C.C. Den Draai,0762::SB10,5754 AV,2208,1112,35,4,0,0,0,956,195,0,0,0,0,0,1151,389,235,175,99,58,108,48
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Kastanje,0762::SB11,5757 AP,1545,766,35,3,0,0,0,686,118,0,0,0,0,0,804,258,120,240,32,29,58,29
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Ontmoetingsruimte 'de Gasterij',0762::SB12,5757 DZ,1147,429,14,1,0,0,0,374,70,0,0,0,0,0,444,142,86,122,16,20,31,12
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Moost,0762::SB13,5758 RX,1485,686,15,3,0,1,0,597,108,0,0,1,0,0,705,286,110,112,44,22,84,28
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Gouden Helm,0762::SB14,5759 PA,761,353,13,2,0,0,0,329,39,0,0,0,0,0,368,148,48,52,19,10,18,58
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Basisschool D'n Heiakker,0762::SB15,5754 DJ,1768,594,19,3,0,0,0,554,62,0,0,0,0,0,616,82,184,83,87,36,92,30
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau brede school d'n Bogerd,0762::SB16,5753 GN,1265,416,17,0,0,0,0,385,48,0,0,0,0,0,433,87,108,56,56,24,59,26
Aa en Maas,Deurne,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau NS Station,0762::SB18,5751 JN,0,190,5,0,0,0,0,184,11,0,0,0,0,0,195,31,56,42,30,13,11,7
