contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Zorgcentrum Symfonie,0756::SB1,5831 ZZ,1280,662,14,4,0,3,0,641,42,0,0,3,0,0,683,199,140,142,55,34,70,22
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau de Weijerdonck,0756::SB2,5831 JV,1343,608,11,2,0,0,0,571,50,0,0,0,0,0,621,148,156,124,80,43,45,12
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Wijkcentrum De Driewiek,0756::SB3,5831 VV,1175,584,22,3,0,0,0,556,53,0,0,0,0,0,609,120,204,81,74,39,54,12
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Kinderkenniscentrum 't Bolwerk,0756::SB4,5831 CR,1397,495,9,1,0,0,0,447,58,0,0,0,0,0,505,106,166,57,73,34,47,12
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Jenaplan Kindcentrum (de Peppels),0756::SB5,5831 CA,1291,588,15,5,0,0,0,553,55,0,0,0,0,0,608,112,179,80,88,55,54,20
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Restaria De Flip,0756::SB6,5831 MB,1249,914,31,2,0,0,0,872,75,0,0,0,0,0,947,154,259,168,118,88,73,54
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Buurthuis de Elsenhof,0756::SB7,5836 AN,1453,817,19,1,0,1,0,746,92,0,0,1,0,0,838,277,204,141,73,52,57,13
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau MFC Het Kruispunt,0756::SB8,5835 AT,1511,849,26,9,0,0,0,797,87,0,0,0,0,0,884,309,219,137,42,54,61,27
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis de Kleppenburg,0756::SB9,5441 BK,1889,1027,35,8,0,2,0,976,96,0,0,2,0,0,1072,282,265,145,108,112,80,35
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Dorpshuis de Poel,0756::SB10,5447 AW,1366,814,19,3,0,0,0,762,74,0,0,0,0,0,836,396,148,94,47,53,51,25
