contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,AWP niet politiek wel deskundig,50PLUS,ChristenUnie
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemeentehuis Hoogezand,1952::SB1,9603 AE,2869,1539,34,15,0,0,0,1427,164,3,0,3,0,0,1591,430,284,245,133,158,164,125
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Reensche Compagnie,1952::SB2,9602 PJ,2789,971,39,2,0,1,1,934,78,0,0,1,0,0,1013,270,282,58,55,88,142,76
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Woonzorgcentrum Voor Anker,1952::SB3,9601 EM,2440,1100,22,3,0,2,1,1026,96,0,2,0,0,0,1123,328,242,131,74,117,124,84
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Wijkcentrum Spokie,1952::SB4,9602 AE,2664,953,28,10,0,0,0,898,88,0,5,0,5,0,986,289,245,44,46,100,181,48
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Westerbroek,1952::SB5,9608 PK,792,435,4,1,0,0,0,406,34,0,0,0,0,0,440,148,97,37,35,44,49,25
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Multi Functioneel Centrum Foxhol,1952::SB6,9607 RJ,915,394,9,0,0,0,0,358,45,0,0,0,0,0,403,115,81,23,22,38,73,42
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Kropswolde,1952::SB7,9606 PH,1391,884,4,6,0,2,0,814,82,0,0,2,0,0,896,240,95,235,66,109,91,48
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Voormalige J. Albrondaschool,1952::SB8,9605 PL,736,409,3,2,0,2,0,372,40,0,2,0,0,0,412,150,63,48,48,38,46,16
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Wijkcentrum De Kern,1952::SB9,9601 XD,2102,716,17,6,0,0,0,721,17,0,1,0,1,0,738,206,166,57,51,71,116,49
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Wijkcentrum 't Spinneweb,1952::SB10,9611 EE,1699,697,12,1,0,0,0,650,60,0,0,0,0,0,710,219,140,47,45,55,111,80
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Woonzorgcentrum Sint Jozef,1952::SB11,9611 AN,1920,1188,24,8,0,1,0,1130,91,0,0,1,0,0,1221,405,260,100,77,109,124,113
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Woonzorgcentrum De Burcht,1952::SB12,9602 VT,1785,710,13,5,0,2,0,654,76,0,0,2,0,0,730,219,172,52,32,57,103,75
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Wijkcentrum Woldwijck,1952::SB13,9602 KD,2779,1150,22,5,0,2,0,1079,100,0,0,2,0,0,1179,354,271,76,53,86,205,105
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Theo Thijssenschool,1952::SB14,9611 HZ,1181,438,3,0,0,0,0,412,29,0,0,0,0,0,441,162,89,29,21,41,53,43
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau BWRI,1952::SB15,9611 TH,1954,571,14,3,0,0,0,537,51,0,0,0,0,0,588,152,111,89,37,62,60,60
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemeentehuis Slochteren,1952::SB16,9621 AL,1574,918,10,5,0,1,0,842,92,0,0,1,0,0,934,226,130,126,54,75,47,260
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Meent,1952::SB17,9626 AX,1384,741,11,2,0,0,0,686,69,1,0,1,0,0,755,176,68,129,75,54,44,195
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau 't Ufkenshuis,1952::SB18,9628 CW,1587,854,5,4,0,7,0,782,88,0,0,7,0,0,870,246,104,150,126,92,57,79
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Plaaisterploats,1952::SB19,9939 PC,397,183,5,0,0,0,0,161,27,0,0,0,0,0,188,82,21,29,12,15,10,14
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis De Pompel,1952::SB20,9625 PJ,486,287,5,2,0,0,0,260,34,0,0,0,0,0,294,101,29,46,38,27,22,24
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Borgstee,1952::SB21,9617 BN,718,729,10,2,0,0,0,663,78,0,0,0,0,0,741,268,151,87,53,69,43,58
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Mainschoar,1952::SB22,9615 AB,1105,605,8,4,0,0,0,554,63,0,0,0,0,0,617,182,112,68,50,65,73,55
