contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau De Damsteen,0482::SB1,2951 ED,2412,961,9,7,0,0,2,865,110,0,0,0,0,0,977,149,33,82,107,104,219,44,163,60
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Openbare Bibliotheek,0482::SB2,2951 CB,1948,1212,19,2,0,0,0,1111,122,0,0,0,0,0,1233,170,59,112,162,139,212,99,166,93
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Stichting De Poort,0482::SB3,2951 AK,1161,882,5,1,0,0,0,761,127,0,0,0,0,0,888,104,29,58,57,97,297,54,156,30
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Woonzorgcentrum De Waard,0482::SB4,2951 XR,1602,810,19,2,0,10,0,734,87,0,10,0,0,0,821,127,44,69,100,64,179,47,114,66
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Sportcentrum Blokweer,0482::SB5,2951 HL,1534,962,15,1,0,0,1,882,96,1,0,1,0,0,979,158,60,94,108,103,139,84,134,82
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau School De Twijn (De Loopplank),0482::SB6,2951 SC,1429,859,7,3,0,2,1,780,86,0,2,0,0,0,867,112,41,83,118,97,155,43,139,71
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Ds. Joannes Beukelmanschool,0482::SB7,2951 BZ,664,389,9,0,0,7,0,346,58,0,0,7,0,0,404,26,11,23,29,20,183,21,47,29
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Centrum voor Jeugd en Gezin,0482::SB8,2954 BH,1524,836,6,4,0,0,0,756,88,0,2,0,2,0,844,105,37,79,114,138,99,90,103,71
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Multifunctioneel Centrum Maasplein,0482::SB9,2953 CH,1248,698,10,2,0,0,0,647,65,2,0,2,0,0,712,85,25,65,89,55,158,60,101,60
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Het Kompas,0482::SB10,2953 XM,1031,626,4,1,0,0,0,556,75,0,0,0,0,0,631,90,37,38,56,59,144,44,142,16
Rivierenland,Alblasserdam,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Sportpark Molenzicht,0482::SB11,2953 BD,857,523,15,3,0,0,0,483,57,0,1,0,1,0,540,83,20,50,88,64,72,28,80,38
