contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Groen, Water & Land",VVD,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Natuurlijk BBW,50PLUS,AWP niet politiek wel deskundig,ChristenUnie
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Stadhuis,0439::SB1,1441 DM,1916,1168,23,13,0,0,3,1100,101,0,0,0,0,0,1204,361,188,131,96,170,24,89,85,24
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau De Avondzon,0439::SB2,1441 CM,1953,870,22,1,0,1,1,822,71,0,0,1,0,0,894,275,120,90,49,124,12,106,73,21
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Bibliotheek Purmerend,0439::SB3,1441 MP,2049,953,21,6,0,13,0,884,83,0,13,0,0,0,967,290,75,111,80,141,19,126,86,25
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Stembureau De Zorgcirkel, locatie De Viervorst",0439::SB4,1441 HC,1361,800,11,5,0,1,0,760,57,0,0,1,0,0,817,249,72,79,65,138,17,103,63,14
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Verzorgingshuis De Tien Gemeenten,0439::SB5,1442 AA,1229,689,24,4,0,0,2,661,54,0,0,0,0,0,717,190,69,68,81,110,9,98,42,22
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Oec. Basisschool 't Prisma,0439::SB6,1442 WN,1969,683,22,8,0,1,0,659,55,0,0,1,0,0,714,208,43,81,34,136,14,89,53,25
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Bets Frijlingschool,0439::SB7,1442 EC,1361,584,13,4,0,0,0,558,43,0,0,0,0,0,601,192,29,75,36,104,13,67,51,17
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Stembureau De Zorgcirkel, locatie Novawhere",0439::SB8,1444 HT,1548,824,21,5,0,2,1,773,78,0,0,2,0,0,852,252,123,85,72,91,14,92,73,22
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Stembureau De Zorgcirkel, locatie Jaap van Praag",0439::SB9,1444 TA,1132,796,23,4,0,0,0,764,60,1,0,1,0,0,824,189,77,90,73,148,16,96,79,28
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Wijkcentrum De Inval,0439::SB10,1444 HV,1772,567,13,6,0,1,0,530,55,0,1,0,0,0,585,175,62,45,44,87,16,79,41,18
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Oec. Basisschool KlimOp,0439::SB11,1444 HV,1911,900,20,7,0,0,1,833,93,0,0,0,0,0,927,265,74,114,85,137,19,102,91,13
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Wijkplein Where,0439::SB12,1443 BM,1560,1090,22,8,1,0,0,1033,88,0,0,1,0,0,1121,294,86,98,84,154,26,189,108,51
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Stembureau Prinsenstichting, locatie Rudolf Garrel",0439::SB13,1443 LH,1278,397,17,7,0,0,0,391,30,0,0,0,0,0,421,116,34,46,33,62,7,52,37,10
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Obs Wheermolen,0439::SB14,1443 WT,1519,624,16,2,0,0,0,592,50,0,0,0,0,0,642,209,49,50,38,110,9,84,49,26
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Hengelsportvereniging HSV XI,0439::SB15,1443 WJ,1560,530,5,1,0,2,0,484,54,0,0,2,0,0,538,159,43,52,44,91,6,65,49,21
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Oec. Basisschool Trifolium,0439::SB16,1441 RJ,1779,861,19,5,1,0,0,794,92,1,0,1,0,0,886,277,85,108,61,117,15,106,72,20
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Dijklander Ziekenhuis,0439::SB17,1441 RN,1796,1044,20,3,0,2,0,959,106,0,2,0,0,0,1065,343,100,150,52,144,19,134,78,24
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Stembureau Prinsenstichting, locatie Hoornblad",0439::SB18,1441 VS,2014,919,15,3,0,3,0,827,113,0,0,3,0,0,940,253,71,110,73,134,20,137,79,42
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Korfbalvereniging Purmer,0439::SB19,1446 HC,1744,623,8,4,0,0,0,573,62,0,0,0,0,0,635,190,45,69,33,89,8,129,51,9
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Buurtcentrum Gildeplein,0439::SB20,1445 CW,1843,1113,28,5,0,0,0,1050,96,0,0,0,0,0,1146,362,73,140,44,157,23,206,75,33
Hollands Noorderkwartier,Purmerend,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Dalton Kindcentrum Het Parelhof,0439::SB21,1445 HC,1739,765,17,7,0,1,0,704,86,0,0,1,0,0,790,230,71,72,49,132,10,102,79,20
