contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Ons Water,West-Brabant Waterbreed,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),50PLUS,AWP niet politiek wel deskundig,ChristenUnie,Partij voor de Dieren
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stadhuis,0826::SB1,4902 ZP,3991,1239,49,15,0,0,2,1165,137,0,0,1,0,0,1304,144,114,176,193,105,143,150,32,23,159
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Delta-Onderwijs,0826::SB2,4902 AB,2116,1057,16,3,0,0,0,957,119,0,0,0,0,0,1076,276,138,121,140,92,78,125,17,10,60
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Doelen,0826::SB3,4901 JA,1780,758,32,5,0,0,0,732,63,0,0,0,0,0,795,118,91,77,123,46,100,121,17,8,57
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Theater de Bussel,0826::SB4,4901 EJ,1992,930,20,10,0,0,0,886,75,0,0,1,0,0,961,166,96,108,124,107,106,100,24,17,82
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Praktijkschool De Zwaaikom,0826::SB5,4902 NA,1880,878,15,3,0,0,0,822,74,0,0,0,0,0,896,193,96,86,140,77,83,84,32,5,82
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau KBS ""Paulo Freire""",0826::SB7,4901 AW,2106,883,15,1,0,0,0,805,94,0,0,0,0,0,899,111,77,134,151,80,79,115,41,8,87
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Oosterheem,0826::SB8,4901 MN,1898,870,19,3,0,0,0,813,79,0,0,0,0,0,892,149,92,82,160,88,84,119,31,9,56
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Speelgoed-& Carnavalsmuseum ""op Stelten""",0826::SB9,4901 HT,1298,744,2,12,0,0,0,661,97,0,0,0,0,0,758,109,106,74,118,56,72,109,17,16,67
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Activiteitencentrum ""De Bunthoef""",0826::SB10,4904 CA,2205,966,21,10,0,0,0,896,102,0,0,1,0,0,998,107,90,123,172,76,123,107,32,13,123
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Kindcentrum ""De Ontdekking""",0826::SB11,4904 KJ,2107,678,16,7,0,0,1,640,60,0,0,0,0,0,701,53,30,109,110,56,108,100,19,13,80
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stichting BOCK,0826::SB12,4904 AR,1610,535,12,2,0,0,0,491,58,0,0,0,0,0,549,106,59,63,76,50,58,68,8,9,38
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau KBS ""De Beiaard""",0826::SB13,4904 PW,1248,834,20,4,0,0,0,768,90,0,0,0,0,0,858,199,126,105,96,101,70,55,22,7,53
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Klip,0826::SB14,4849 BG,2637,1287,31,5,0,0,1,1185,137,0,0,0,0,0,1323,185,128,141,351,173,58,76,28,11,136
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Gemeenschapshuis ""Oostquartier""",0826::SB15,4909 AL,1012,555,8,1,0,0,0,505,59,0,0,0,0,0,564,99,165,40,125,27,28,25,12,6,28
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Dorpshuis ""Den Brink""",0826::SB16,4911 AW,2089,852,19,2,0,0,0,781,93,0,0,1,1,0,874,203,90,93,233,54,54,42,15,6,62
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Nevenvestiging OBS ""Rubenshof""",0826::SB17,4907 AB,1527,940,2,15,0,0,1,865,91,0,0,0,1,0,957,202,89,151,110,83,96,95,22,23,69
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau OBS ""Rubenshof""",0826::SB18,4907 MX,1930,950,17,3,0,1,1,866,102,0,1,0,0,0,969,189,89,178,105,77,101,84,17,25,85
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau OBS ""Sterrendonk""",0826::SB19,4907 GH,1154,537,11,2,0,0,0,489,61,0,0,0,0,0,550,54,38,83,97,42,75,73,23,5,47
Brabantse Delta,Oosterhout,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Activiteitencentrum ""Dommelbergen""",0826::SB20,4907 XP,2107,977,27,13,0,2,0,930,89,0,0,2,0,0,1019,120,71,178,152,84,95,135,31,11,100
