contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,AWP niet politiek wel deskundig,50PLUS,ChristenUnie
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemeentehuis Gieten,1680::SB1,9461 BH,1361,978,22,3,0,0,2,937,64,0,0,0,0,0,1003,311,171,222,76,113,54,31
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Openbare basisschool Gieten,1680::SB2,9461 DA,1439,752,9,6,0,0,2,698,67,0,0,0,0,0,767,259,141,161,44,71,46,30
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Zorgcentrum 'Dekelhem' (Gieten),1680::SB3,9461 JA,1299,776,18,4,0,1,0,743,58,0,0,3,0,0,801,247,186,131,53,70,69,20
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Ontmoetingscentrum Boerhoorn Rolde,1680::SB4,9451 KD,1799,1401,10,4,0,0,0,1280,135,0,0,0,0,0,1415,415,215,436,77,116,71,71
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Zorgcentrum 'Hendrik Kok' (Rolde),1680::SB5,9451 CT,2147,998,14,2,0,0,0,919,95,0,0,0,0,0,1014,287,191,276,62,69,75,38
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis 'De Eekhof' (Ekehaar),1680::SB6,9454 PL,467,337,3,1,0,0,0,301,40,0,0,0,0,0,341,89,45,138,24,19,10,12
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Het Markehuis (Grolloo),1680::SB7,9444 XE,954,518,6,0,0,0,0,464,54,0,6,0,6,0,518,149,61,197,37,38,27,9
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Gasselte,1680::SB8,9462 RH,1576,928,5,1,0,0,0,856,78,0,0,0,0,0,934,303,206,147,55,118,66,33
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau MFC De Spil Gasselternijveen,1680::SB9,9514 CA,1515,806,7,3,0,0,0,740,76,0,0,0,0,0,816,223,155,68,73,185,78,24
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Gasselternijveenschemond,1680::SB10,9515 PE,547,326,3,0,0,0,0,301,28,0,0,0,0,0,329,103,37,36,27,64,34,25
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Ous Hoes (Gieterveen),1680::SB11,9511 PM,804,472,4,2,0,0,1,430,47,0,0,0,0,0,478,164,65,67,48,87,28,13
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis De Kiep Eexterveenscheka.,1680::SB12,9659 PL,421,166,13,1,0,0,0,165,15,0,0,0,0,0,180,75,27,13,9,17,24,1
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Multifunctioneel centrum De Badde,1680::SB13,9654 PP,317,195,0,1,0,0,0,181,15,0,0,0,0,0,196,90,28,23,6,23,15,10
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemschapshuis De Spiker N-Annerveen,1680::SB14,9657 PD,325,215,0,0,0,0,0,198,17,0,0,0,0,0,215,80,35,39,23,21,10,7
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis 't Achterhoes Eexterveen,1680::SB15,9658 PH,467,299,5,1,0,0,0,279,26,0,0,0,0,0,305,102,35,82,20,27,21,12
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Annen,1680::SB16,9468 BJ,1406,909,17,6,0,0,0,861,68,0,3,0,0,0,929,327,162,185,62,87,48,38
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Verzorgingstehuis 't Holthuys Annen,1680::SB17,9468 HG,1486,793,18,4,0,0,0,764,53,0,0,0,0,0,817,271,174,129,61,78,56,24
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Schipborg,1680::SB18,9469 PE,507,355,7,2,0,0,1,337,26,0,0,0,0,0,364,138,47,64,27,33,12,34
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Cafe/Restaurant Eext,1680::SB19,9463 PC,1156,644,14,0,0,0,0,614,44,0,0,0,0,0,658,233,109,141,22,81,46,12
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis De Gasterije (Gasteren),1680::SB20,9466 PL,379,248,1,1,0,0,0,230,20,0,0,0,0,0,250,106,31,57,10,13,16,15
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemeenschapshuis Oes Stee (Anderen),1680::SB21,9465 TS,220,157,1,0,0,0,0,151,7,0,0,0,0,0,158,58,20,54,6,9,3,7
Hunze en Aa's,Aa en Hunze,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Openbare Basisschool Anloo,1680::SB22,9467 PH,397,231,9,1,0,0,0,229,12,0,0,0,0,0,241,86,41,41,10,31,16,6
