contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Stadskantoor,0216::SB1,,1852,878,21,3,0,0,4,808,90,0,0,0,0,0,902,115,41,249,129,123,9,126,25,61
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Koningin Beatrixschool,0216::SB2,,1781,889,15,2,0,0,0,826,82,2,0,2,0,0,908,95,35,272,129,107,11,152,47,41
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Jenaplanschool 't Praathuis,0216::SB3,,1710,902,8,2,0,1,0,833,80,0,0,1,0,0,913,55,24,394,121,64,19,162,25,38
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Daltonschool,0216::SB4,,1687,643,12,6,0,0,0,569,92,0,0,0,0,0,661,71,23,146,127,81,12,69,28,86
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Verzorgingshuis Kulenburg,0216::SB6,,1583,760,14,5,0,0,0,705,74,0,0,0,0,0,779,123,52,165,115,91,11,81,40,82
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Basisschool De Palster,0216::SB7,,1655,697,17,4,0,0,0,636,82,0,0,0,0,0,718,89,32,154,124,76,5,95,33,89
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Koningin Julianaschool,0216::SB8,,1668,1173,24,3,0,2,0,1099,99,0,2,0,0,0,1198,178,58,295,154,220,18,116,48,86
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Salaamander,0216::SB9,,1807,1041,26,7,0,2,0,975,97,0,2,0,0,0,1072,118,36,229,158,139,24,151,72,114
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Gandhi-Soos,0216::SB10,,1512,642,18,7,0,0,0,583,85,1,0,1,0,0,668,58,35,140,141,56,15,73,36,88
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Rode Kruisgebouw,0216::SB11,,1772,1077,15,3,0,0,0,1000,95,0,0,0,0,0,1095,129,52,305,144,170,19,102,66,90
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau NS Station,0216::SB12,,0,246,8,1,0,0,0,237,18,0,0,0,0,0,255,24,10,92,32,18,1,54,8,7
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Augustinusschool,0216::SB13,,1187,742,14,0,0,5,0,685,76,0,0,5,0,0,761,111,42,179,89,122,10,83,39,67
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau BonVie,0216::SB14,,1665,1260,21,6,0,0,0,1202,85,0,0,0,0,0,1287,225,51,255,148,251,32,136,57,105
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Oranje Nassauschool,0216::SB15,,1395,666,5,5,0,1,0,619,56,0,1,0,0,0,675,104,26,166,77,131,9,88,26,39
Rivierenland,Culemborg,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Brede School,0216::SB16,,1329,488,7,0,0,0,0,445,51,1,0,1,0,0,496,79,27,95,69,114,4,41,22,37
