contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Gemeentehuis,0406::SB1,1276 KB,1303,1136,21,4,0,0,0,1032,129,0,0,0,0,0,1161,231,122,145,111,205,51,83,11,35,5,4,133
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Beatrixschool,0406::SB2,1272 BP,1641,993,17,2,0,0,0,917,96,0,0,1,0,0,1013,196,107,114,75,219,35,82,12,37,1,0,115
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Plankenierstheater,0406::SB3,1272 PB,924,644,8,4,0,0,0,561,95,0,0,0,0,0,656,341,33,74,43,58,16,21,0,24,3,0,31
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Voor Anker,0406::SB4,1272 KV,1590,1117,13,3,0,0,0,1022,111,0,0,0,0,0,1133,304,62,99,61,272,27,51,6,28,3,1,203
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Firma Bendex,0406::SB5,1271 LW,1760,735,11,2,0,0,0,675,74,0,0,1,0,0,749,136,80,77,107,122,31,62,1,24,6,0,89
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Brassershoeve,0406::SB6,1271 RP,1708,1061,13,3,0,0,0,985,92,0,0,0,0,0,1077,238,96,116,92,223,45,62,3,27,7,1,151
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Rehobothschool,0406::SB7,1276 NA,1210,734,5,1,0,0,0,676,65,1,0,1,0,0,741,142,54,61,39,188,26,41,0,42,3,1,137
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Wijkcentrum Meentamorfose,0406::SB8,1276 AS,1449,633,14,2,0,0,0,596,53,0,0,0,0,0,649,81,105,81,63,104,30,61,6,23,2,2,75
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Bolder,0406::SB9,,1814,784,19,5,0,0,0,744,64,0,0,0,0,0,808,133,103,101,45,136,16,73,6,28,3,1,139
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Wijkcentrum Holleblok,0406::SB10,1273 EG,1615,720,10,4,0,0,0,677,57,0,0,0,0,0,734,122,112,106,84,92,37,61,6,20,1,0,79
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Schoolgebouw Holleblok,0406::SB11,1273 EG,1171,1003,5,21,0,0,0,943,86,0,0,0,0,0,1029,185,155,133,104,132,46,112,2,31,3,2,98
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Kamperfoelieschool,0406::SB12,1273 LC,1304,525,18,0,0,1,0,505,39,0,0,1,0,0,544,87,82,70,67,67,22,42,2,22,0,2,62
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Meentkerk,0406::SB13,1274 RZ,1365,679,9,3,0,1,0,644,46,0,1,0,0,0,690,103,74,116,81,85,24,79,11,39,5,4,58
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Rustmaat,0406::SB14,1273 JS,1834,1015,17,3,0,0,0,960,75,0,0,0,0,0,1035,175,140,132,93,141,45,109,9,49,3,3,116
"Amstel, Gooi en Vecht",Huizen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Gouden Kraal,0406::SB15,1275 AB,1733,947,19,1,0,0,0,884,84,0,0,1,0,0,968,165,152,131,91,125,45,84,10,45,3,2,94
