contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Gemeentehuis Hasselt,1896::SB1,8061 CB,1592,816,11,2,0,0,0,729,100,0,0,0,0,0,829,43,79,91,142,116,184,43,118
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Teeuwland Hasselt,1896::SB2,8061 JR,1460,871,12,3,0,0,0,809,78,0,0,1,0,0,887,52,64,95,155,110,238,34,123
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Baak Hasselt,1896::SB3,8061 DA,1385,616,5,1,0,0,0,569,53,0,0,0,0,0,622,21,67,52,97,75,188,45,71
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Gemeentehuis Hasselt,1896::SB4,8061 CB,1166,886,14,2,0,0,0,806,96,0,0,0,0,0,902,41,98,92,146,135,199,70,105
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau 't Olde Staduus Genemuiden,1896::SB5,8281 EV,1394,886,7,2,0,1,0,790,106,0,0,1,0,0,896,29,66,396,63,69,144,40,79
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Schakel Genemuiden,1896::SB6,8281 AB,1921,632,5,0,0,0,0,547,90,0,0,0,0,0,637,21,33,313,27,38,131,17,52
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Driester Kamperzeedijk,1896::SB7,8281 PG,607,452,6,0,0,0,0,406,52,0,0,0,0,0,458,11,17,239,9,16,74,9,77
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Meente Genemuiden,1896::SB8,8281 DG,1693,815,7,1,0,0,0,728,95,0,0,0,0,0,823,42,26,365,48,57,170,26,81
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Eben Haëzerschool Genemuiden,1896::SB9,8281 KN,1895,822,8,0,0,0,0,695,135,0,0,0,0,0,830,10,45,485,42,26,138,12,64
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Arembergschool Zwartsluis,1896::SB10,8064 CD,1371,777,6,5,0,0,0,719,69,0,1,0,0,0,788,44,148,42,141,104,86,75,137
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Schans Zwartsluis,1896::SB11,8064 DC,1076,697,13,4,0,0,0,653,61,0,0,0,0,0,714,59,82,32,127,75,125,53,144
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Hotel Zwartewater Zwartsluis,1896::SB12,8064 PC,1397,717,11,0,0,0,0,655,71,0,2,0,2,0,726,41,105,62,109,86,108,72,134
Drents Overijsselse Delta,Zwartewaterland,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Mobiel bureau De Schakel Genemuiden,1896::SB13,8281 AB,0,463,4,1,0,0,0,399,69,0,0,0,0,0,468,9,20,258,22,34,69,18,33
