contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterschap@inwonersbelangen,ChristenUnie,"AWP niet politiek, wel deskundig",Staatkundig Gereformeerde Partij (SGP),50PLUS
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stadhuis,0344::SB1,3512 GG,1705,1238,46,2,0,1,1,1212,72,0,1,0,0,0,1285,402,190,78,107,248,21,62,114,6,10
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau TivoliVredenburg,0344::SB3,3511 WC,1546,1220,37,3,0,1,1,1197,61,0,1,0,0,0,1259,379,154,73,125,282,27,50,98,6,26
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau De Kargadoor,0344::SB4,3511 AP,1770,1432,42,4,0,3,0,1376,105,0,0,3,0,0,1481,434,179,112,144,317,34,53,144,5,10
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Singelzicht,0344::SB5,3512 CR,1238,1001,38,0,0,1,0,971,69,0,1,0,0,0,1040,327,135,50,82,212,17,52,112,4,10
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau ODBS Pieterskerkhof,0344::SB6,3512 JR,2530,1239,29,2,0,0,0,1166,105,1,0,1,0,0,1271,377,157,61,144,256,25,71,130,9,9
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Gymzaal Agatha Snellen School,0344::SB7,3512 XG,1937,1179,33,8,0,3,0,1130,93,0,0,3,0,0,1223,395,163,57,130,238,19,38,120,3,16
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Bartholomeus Gasthuis,0344::SB8,3511 PZ,554,1197,40,4,0,1,2,1160,81,0,0,2,1,0,1243,394,137,54,137,283,24,51,85,9,23
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau ODBS Puntenburg,0344::SB9,3511 ER,270,244,8,0,0,0,0,235,17,0,0,0,0,0,252,100,26,12,29,34,9,10,24,0,0
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau De Nieuwe Vaart,0344::SB10,3511 MH,1009,412,14,0,1,0,0,391,36,0,0,1,0,0,427,152,41,28,47,71,15,16,32,2,8
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Chr. Jenaplanschool De Brug,0344::SB13,3531 JJ,2080,1144,45,5,0,0,0,996,198,0,0,0,0,0,1194,366,105,63,170,200,35,49,114,2,40
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Buurthuis Muntmeesters,0344::SB14,3531 HD,1497,925,33,2,0,0,0,905,55,0,0,0,0,0,960,341,69,56,113,206,15,28,80,2,15
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau De Wijkplaats,0344::SB15,3531 SE,3485,1033,54,6,0,1,0,984,108,0,1,0,0,0,1092,345,91,45,179,189,32,34,86,9,23
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau KBS De Catharijnepoort,0344::SB16,3532 VM,1815,723,39,4,9,0,0,729,46,0,0,9,0,0,775,232,80,35,110,140,21,27,59,3,16
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau KBS De Catharijnepoort,0344::SB17,3532 VM,1569,861,36,4,5,0,0,833,63,0,5,0,0,0,896,275,87,41,120,181,26,35,72,6,18
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Van Asch van Wijckschool,0344::SB18,3532 CX,1306,783,1,27,0,0,0,732,79,0,0,0,0,0,811,267,68,58,105,143,10,41,57,10,24
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau KBS De Catharijnepoort,0344::SB20,3532 HK,2686,1133,30,3,0,0,0,1074,92,0,0,0,0,0,1166,332,88,72,132,239,45,76,87,10,52
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Gymzaal OBS Oog in Al,0344::SB22,3533 TE,1520,861,30,5,0,5,0,821,80,0,0,5,0,0,901,244,87,64,144,157,12,41,86,12,14
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Gymzaal Franz Schubertstraat,0344::SB23,3533 GW,766,959,36,2,0,3,0,909,91,0,0,3,0,0,1000,325,123,62,120,142,21,47,98,13,8
De Stichtse Rijnlanden,Utrecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau De Wartburg,0344::SB24,3533 KJ,1196,428,7,4,0,0,0,400,39,0,0,0,0,0,439,109,50,54,67,42,9,20,39,9,29
