contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Staatkundig Gereformeerde Partij (SGP),Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,50PLUS,AWP Niet Politiek Wel Deskundig
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Heinkenszand, trouwzaal",0654::SB1,4451 KB,1315,772,10,3,0,0,0,718,67,0,0,0,0,0,785,181,10,16,151,83,102,69,36,66,58
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Heinkenszand, raadzaal",0654::SB2,4451 KB,1524,863,10,0,0,0,0,773,100,0,0,0,0,0,873,202,11,16,175,109,109,70,30,75,66
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Heinkenszand, Dijkstede",0654::SB3,4451 LA,1659,809,8,2,0,0,1,816,1,0,1,0,1,0,818,219,13,9,173,110,88,55,36,58,48
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Lewedorp,0654::SB5,4456 AL,1401,785,3,3,0,0,0,709,82,0,0,0,0,0,791,178,64,12,191,77,73,46,12,63,69
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Nieuwdorp,0654::SB6,4455 TL,935,549,2,1,0,0,0,495,57,0,0,0,0,0,552,60,172,3,95,15,25,28,34,31,86
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau 's-Heerenhoek,0654::SB7,4453 BE,1581,813,3,5,0,0,1,727,93,0,0,0,0,0,821,216,13,8,208,86,101,52,11,83,35
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Borssele,0654::SB8,4454 AS,1035,691,1,5,0,0,0,623,74,0,0,0,0,0,697,42,397,4,88,15,30,37,17,45,16
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Driewegen,0654::SB9,4438 AH,466,263,2,0,0,0,0,235,30,0,0,0,0,0,265,41,4,4,68,28,20,43,17,22,16
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Ellewoutsdijk,0654::SB10,4437 AE,319,181,0,0,0,0,0,166,15,0,0,0,0,0,181,14,4,6,68,13,20,20,7,12,17
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Ovezande,0654::SB11,4441 AE,957,551,6,4,0,0,0,501,60,0,0,0,0,0,561,149,8,7,129,55,57,62,16,29,39
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Oudelande,0654::SB12,4436 AC,578,358,3,2,0,0,0,325,38,0,0,0,0,0,363,46,12,6,156,27,26,33,8,22,22
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Baarland,0654::SB13,4435 AD,500,297,5,1,0,0,0,267,36,0,0,0,0,0,303,34,43,4,80,25,29,36,13,18,15
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Hoedekenskerke,0654::SB14,4433 AL,552,377,0,1,0,0,1,346,32,1,0,1,0,0,379,75,68,2,71,30,26,22,36,26,21
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Kwadendamme,0654::SB15,4434 AC,796,479,4,3,0,0,0,436,50,0,0,0,0,0,486,196,12,7,111,40,28,29,10,28,18
Scheldestromen,Borsele,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Nisse,0654::SB16,4443 AE,517,343,2,1,0,3,0,319,32,2,0,5,0,0,351,70,57,3,47,36,33,37,18,13,29
