contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Ons Water,West-Brabant Waterbreed,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),50PLUS,AWP niet politiek wel deskundig,ChristenUnie,Partij voor de Dieren
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Cultuur Centrum Zundert,0879::SB1,4881 CP,1435,636,9,6,0,0,0,583,68,0,0,0,0,0,651,136,119,75,69,88,39,44,14,7,45
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau St. Anna-school,0879::SB2,4881 XE,1348,449,17,7,0,0,0,432,41,0,0,0,0,0,473,62,52,84,51,49,44,49,21,6,31
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Thebe gebouw,0879::SB3,4881 AK,1303,659,14,6,0,0,0,607,72,0,0,0,0,0,679,135,103,80,94,77,41,71,13,6,39
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Willaert,0879::SB4,4881 EH,1596,701,22,5,0,0,0,642,86,0,0,0,0,0,728,167,137,69,102,70,37,60,13,6,40
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Tenniscentrum de Leeuwerik,0879::SB5,4881 WZ,1413,535,23,4,0,0,0,502,60,0,0,0,0,0,562,82,84,84,88,42,44,59,14,4,34
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Gemeenschapshuis Wierenbos,0879::SB6,4884 AB,2313,887,19,13,0,0,0,824,95,0,0,0,0,0,919,137,163,144,149,47,40,97,25,17,68
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Gemeenschapshuis 't Gouwe Hart,0879::SB7,4885 AH,1594,657,25,3,1,0,1,566,119,0,0,1,0,0,686,105,125,67,200,39,28,35,7,5,46
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Ouderencentrum Levenslust,0879::SB8,4882 BH,1996,923,15,5,0,0,0,827,116,0,0,0,0,0,943,187,192,127,144,80,56,64,17,9,47
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Dorpshuis Amarant,0879::SB9,4891 NS,1667,626,5,3,0,0,0,561,73,0,0,0,0,0,634,109,137,57,127,65,36,43,5,5,42
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Koutershof(bibliotheek),0879::SB10,4891 CJ,1785,992,6,8,0,0,0,862,144,0,0,0,0,0,1006,153,184,92,236,114,44,53,19,9,88
Brabantse Delta,Zundert,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Dienstencentrum de Rijserf,0879::SB11,4891 XL,1931,975,18,3,0,0,0,878,118,0,0,0,0,0,996,155,186,80,219,106,54,67,14,18,76
