contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",VVD,ChristenUnie/SGP,CDA,Werk aan Water Flevoland,50PLUS,AWP niet politiek wel deskundig,OPA
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Stembureau tbv reserveleden,0171::SB0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Gemeentehuis,0171::SB1,8302 BW,1538,761,30,5,2,0,1,738,55,0,2,0,0,0,794,211,61,136,120,115,56,44,18
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau De Ontmoeting,0171::SB2,8303 GK,1348,819,23,1,0,0,0,778,65,0,0,0,0,0,843,221,97,186,110,101,52,37,15
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau ROC Friese Poort Emmeloord,0171::SB3,8302 DC,1844,654,11,0,0,0,1,576,88,0,0,0,0,0,665,123,124,167,95,96,18,18,13
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Zwembad Het Bosbad,0171::SB4,8302 AB,1058,681,11,2,0,0,0,615,79,0,0,0,0,0,694,134,123,104,112,125,28,33,22
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau MFC Nieuw Jeruzalemkerk,0171::SB5,8301 AN,1283,783,24,2,0,0,0,757,52,0,0,0,0,0,809,171,105,132,144,133,50,34,14
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Woonzorgcentrum Hof van Smeden,0171::SB6,8301 XG,1363,530,12,2,0,0,1,510,34,1,0,1,0,0,545,104,47,92,120,97,39,23,8
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Buurthuis Revelsant,0171::SB7,8303 BJ,1827,628,16,2,0,0,0,596,50,0,0,0,0,0,646,182,48,95,73,112,57,44,17
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,"Stembureau Gereformeerde Kerk ""Pro Rege""",0171::SB8,8302 ZD,1574,603,15,1,0,0,0,577,42,0,0,0,0,0,619,133,45,173,75,91,44,31,11
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Buurthuis Espelervaart,0171::SB9,8303 VW,1917,1176,19,6,0,0,0,1106,95,0,0,0,0,0,1201,261,107,290,177,182,71,67,21
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Buurthuis de Brulboei,0171::SB10,8304 DZ,1368,773,13,4,0,0,0,729,60,0,1,0,1,0,789,171,78,148,130,122,61,32,31
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Verpleeghuis Talmahof,0171::SB11,8304 GC,1331,632,14,1,0,0,0,592,53,0,2,0,2,0,645,128,88,118,109,105,34,29,21
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Openbare Jenaplanschool De Zevensprong,0171::SB12,8302 JD,2021,1079,14,2,0,0,0,987,108,0,0,0,0,0,1095,219,138,246,213,163,54,36,10
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Buurthuis De Erven,0171::SB13,8302 NM,1779,1251,20,8,0,1,0,1157,121,0,1,0,0,0,1278,207,185,301,241,199,68,38,12
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau De Poldertoren,0171::SB14,8302 PT,0,684,14,2,0,1,3,642,56,0,0,1,0,0,701,163,88,152,95,114,26,30,16
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Verenigingsgebouw de Bosfluiter,0171::SB20,8315 AV,1334,668,16,1,0,0,1,619,65,0,0,0,0,0,685,84,97,100,128,181,36,20,22
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Verzorgingshuis Markehof,0171::SB21,8316 NJ,1534,821,14,1,0,0,0,767,69,0,0,0,0,0,836,147,99,160,158,147,55,36,19
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau CBS De Zeester,0171::SB22,8316 ZG,1410,870,14,6,0,0,1,810,79,0,0,0,0,0,890,181,81,168,141,203,52,27,17
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau PKN kerk Kraggenburg,0171::SB23,8317 AG,1141,668,3,3,0,0,0,621,53,0,0,0,0,0,674,147,93,147,90,119,31,29,12
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Steunpunt Ens,0171::SB24,8307 BJ,1221,624,4,3,0,0,0,581,50,0,0,0,0,0,631,94,69,120,96,131,30,73,11
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau CBS Het Lichtschip,0171::SB25,8307 AW,1155,671,13,2,0,0,0,641,45,0,0,0,0,0,686,140,61,111,84,99,41,114,21
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Museum Nagele,0171::SB26,8308 AL,1491,813,6,5,0,0,0,750,74,0,0,0,0,0,824,201,105,183,74,179,40,20,11
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau RK Parochiezaal Tollebeek,0171::SB27,8309 AG,1690,1096,6,2,0,0,1,959,144,0,0,0,0,0,1104,90,64,500,199,169,40,18,16
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau M.F.C. 't Mozaïek Espel,0171::SB28,8311 AN,1084,655,6,5,0,1,2,597,66,0,1,0,0,0,665,44,47,118,87,327,15,13,4
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau De Ontmoetingskerk,0171::SB29,8312 AS,1246,706,10,1,0,0,0,664,53,0,0,0,0,0,717,94,81,104,75,279,28,28,17
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Cultureelcentrum De Stiepe,0171::SB30,8313 AB,1281,762,10,4,0,0,0,712,64,0,0,0,0,0,776,62,63,34,43,504,26,18,12
Zuiderzeeland,Noordoostpolder,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Bantsiliek,0171::SB31,8314 AA,1070,631,6,1,0,0,0,578,60,0,0,0,0,0,638,104,112,81,105,170,25,18,16
