contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,Partij voor de Dieren,ChristenUnie-SGP,50PLUS,Trots op Nederland (TROTS)
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Kaleidoskoop,0569::SB1,2421 EX,2303,1641,0,8,0,30,0,1518,159,0,0,28,0,0,1677,385,337,244,203,86,109,104,162,11
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Rank,0569::SB2,2421 BE,2296,1064,16,3,0,1,0,966,118,0,0,1,0,0,1084,314,209,133,92,72,61,99,72,12
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Kaleidoskoop theaterzaal,0569::SB4,2421 EX,2502,1161,16,7,0,3,0,1077,104,0,3,0,0,0,1181,292,201,177,151,86,69,83,87,15
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Rietzanger,0569::SB5,2431 AD,1279,670,11,1,0,0,0,618,64,0,0,0,0,0,682,151,188,91,64,24,60,31,53,8
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Schutse,0569::SB6,3652 LH,1022,78,0,0,0,0,0,68,10,0,0,0,0,0,78,12,22,11,9,2,2,13,7,0
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Parola,0569::SB8,2461 CE,2239,1172,11,4,0,0,0,1090,97,0,0,0,0,0,1187,245,405,132,107,68,67,41,99,8
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Koeleman Potplanten B.V.,0569::SB9,2461 TZ,1781,493,3,2,0,0,0,448,50,0,0,0,0,0,498,126,201,31,26,26,16,37,25,5
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Gemeentehuis Ter Aar,0569::SB10,2461 CC,1375,716,10,1,0,1,1,673,52,0,1,0,0,0,726,161,190,82,57,46,39,77,56,8
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Bibliotheek Ter Aar,0569::SB12,2461 DR,1840,1525,30,7,0,1,0,1432,131,0,0,1,0,0,1563,300,409,168,119,88,124,131,163,23
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Ringkant,0569::SB13,2441 AD,1592,485,13,1,0,2,1,455,45,0,0,2,0,0,501,104,124,51,46,36,30,40,42,12
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Gemeentehuis Nieuwveen,0569::SB14,2441 LE,2205,865,8,4,0,3,0,800,80,0,0,3,0,0,880,163,198,115,91,61,39,78,111,9
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Party-Centrum 't Trefpunt,0569::SB16,2435 XP,1792,674,7,0,0,1,0,624,58,0,0,1,0,0,682,125,190,67,50,35,51,88,52,16
Rijnland,Nieuwkoop,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Mobiel stembureau,0569::SB21,,0,107,1,0,0,0,0,102,6,0,0,0,0,0,108,14,30,16,6,5,6,12,15,3
