contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkcentrum Noord,1930::SB1,3202GN,2912,1198,32,9,0,1,1,1116,121,0,1,0,0,0,1238,395,75,95,155,96,17,70,149,55,91
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Rivièrabad,1930::SB2,3202ST,1597,680,10,2,0,0,0,646,46,0,0,0,0,0,692,236,50,61,85,40,10,25,59,29,85
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Charles de Foucauld Mavo,1930::SB3,3202GR,1243,510,7,5,0,0,0,472,50,0,0,0,0,0,522,177,25,52,62,41,5,26,40,30,52
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Buurthuis De Hoek,1930::SB4,3201HS,2141,812,10,8,0,0,0,736,93,0,1,0,1,0,829,273,37,67,116,45,4,18,124,54,74
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Vier Ambachten,1930::SB5,3201CZ,2299,702,15,5,0,0,0,652,69,1,1,0,0,0,721,226,49,66,86,67,5,34,71,38,60
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Serviceflat Puttesteijn,1930::SB6,3201DB,1540,594,21,2,0,0,0,580,37,0,0,0,0,0,617,185,36,50,73,40,4,23,94,26,63
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School Paus Johannes,1930::SB7,3204AK,1808,775,18,3,0,0,0,735,61,0,0,0,0,0,796,220,53,53,83,71,16,47,99,48,85
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School Paus Johannes,1930::SB8,3204AK,1951,718,15,6,0,0,0,680,59,0,0,0,0,0,739,244,47,64,72,62,10,36,77,38,68
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School De Marimba (Nieuwe locatie),1930::SB10,3203AC,2212,612,7,3,0,0,0,568,54,0,0,0,0,0,622,180,51,60,65,45,8,45,73,29,56
Hollandse Delta,Nissewaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School De Vogelenzang,1930::SB11,3208SG,2484,1113,30,7,0,2,0,1057,95,0,0,2,0,0,1152,387,74,106,133,87,10,40,109,65,102
