contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,Betaalbaar Water,AWP niet politiek wel deskundig,50PLUS
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Gemeentehuis,0010::SB1,9934 EA,1564,926,18,5,0,0,0,855,90,0,4,0,4,0,945,197,137,96,80,126,169,41,80
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Burg. van Julsinghatehuis,0010::SB2,9934 EH,1536,648,13,2,0,0,0,617,46,0,0,0,0,0,663,158,126,64,72,46,106,32,44
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Gebouw Werkorganisatie DEAL,0010::SB3,9934 LN,1200,588,12,7,0,0,0,561,46,0,0,0,0,0,607,142,87,31,79,81,87,38,43
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Aeolus,0010::SB4,9936 CS,0,32,1,0,0,0,0,30,3,0,0,0,0,0,33,10,4,2,3,4,4,3,2
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpsherberg Lanting,0010::SB5,9937 PB,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Gebouw Chr. Geref. Kerk,0010::SB6,9931 CE,1516,514,20,7,0,0,0,479,60,0,2,0,2,0,539,99,100,41,71,44,86,31,42
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Brede School Tuikwerd,0010::SB7,9932 BR,2166,715,9,4,0,0,0,671,54,0,3,0,0,0,725,174,121,42,83,76,116,45,58
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Theda Mansholt College,0010::SB8,9932 BD,1236,543,9,1,0,0,0,507,46,0,0,0,0,0,553,129,101,58,52,65,74,26,38
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Brede School Noord,0010::SB9,9933 KH,1600,751,23,8,0,0,0,714,68,0,0,0,0,0,782,161,137,59,79,51,120,63,81
Noorderzijlvest,Delfzijl,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dollard College,0010::SB10,9946 PM,0,2,0,0,0,0,0,2,1,0,0,1,0,1,3,2,0,0,0,0,0,0,0
