contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Spil, Bleskengraaf",1978::SB1,2971XG,1127,623,3,0,0,0,0,541,85,0,0,0,0,0,626,96,21,51,9,84,203,20,127,12
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Graafzicht, Bleskensgraaf",1978::SB2,2971AC,961,753,6,7,0,0,0,687,79,0,0,0,0,0,766,113,11,50,35,58,282,28,155,21
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Beemd, Oud-Alblas",1978::SB3,2969CD,1700,1104,3,4,0,0,0,980,130,0,1,0,1,0,1110,179,39,69,53,119,319,32,256,38
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Schommel, Molenaarsgraaf",1978::SB5,2973AJ,892,588,7,0,0,0,0,511,84,0,0,0,0,0,595,105,22,25,28,74,180,15,126,13
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Boerenklaas, Brandwijk",1978::SB6,2974BD,973,631,3,1,0,1,0,537,97,0,1,0,0,0,634,135,16,31,33,113,168,19,94,22
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau 't Wingerds Hof, Wijngaarden",1978::SB7,3366BD,552,416,1,1,0,0,0,365,53,0,0,0,0,0,418,67,13,25,7,90,112,15,77,10
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Dorpshuis, Ottoland",1978::SB8,2975BV,720,538,1,0,0,0,0,466,73,0,0,0,0,0,539,156,16,33,23,75,122,19,87,7
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Multistee, Goudriaan",1978::SB9,2977AB,711,496,2,1,0,0,0,440,59,0,0,0,0,0,499,123,18,26,24,98,87,18,87,15
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Sporthal De Reiger, Groot-Ammers",1978::SB10,2964AV,1705,806,6,2,0,0,0,697,117,0,0,0,0,0,814,159,26,56,37,160,155,40,141,32
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Hof van Ammers, Groot-Ammers",1978::SB11,2964BC,1573,1221,8,1,0,0,0,1090,140,0,0,0,0,0,1230,194,62,79,65,191,291,51,244,44
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Vijverhof, Nieuwpoort",1978::SB12,2965CG,1174,773,14,2,0,0,0,701,87,0,1,0,1,0,788,148,35,70,70,166,83,36,130,35
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Koningskerk, Langerak",1978::SB13,2967EG,1345,835,3,4,0,1,0,736,107,0,0,1,0,0,843,153,44,72,52,169,127,28,156,34
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Vijf Lelies, Streefkerk",1978::SB14,2959BS,1055,691,1,7,0,0,0,601,98,0,0,0,0,0,699,126,33,61,31,91,161,24,137,27
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Strevenaer, Streefkerk",1978::SB15,2959BJ,832,482,12,0,0,0,0,444,50,0,0,0,0,0,494,63,19,44,90,45,82,25,75,39
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau 't Waellant, Nieuw-Lekkerland",1978::SB16,2957NH,1649,1025,6,2,0,0,0,907,126,0,0,0,0,0,1033,129,35,60,78,104,274,46,255,44
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Sporthal De Klipper, Nieuw-Lekkerland",1978::SB17,2957EM,1454,995,7,3,0,0,0,889,116,0,0,0,0,0,1005,78,25,74,93,56,284,65,247,73
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Ontmoetingskerk, Nieuw-Lekkerland",1978::SB18,2957CH,1751,1101,6,1,0,1,0,922,187,0,0,1,0,0,1109,83,22,61,70,82,441,35,248,59
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Brede School, Nieuw-Lekkerland",1978::SB19,2957RK,1434,970,15,3,0,0,0,878,110,0,0,0,0,0,988,80,32,89,65,59,323,49,211,62
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Partycentrum De Klok, Kinderdijk",1978::SB20,2961AK,629,399,0,0,0,2,0,355,46,0,0,2,0,0,401,42,5,61,35,27,75,40,88,26
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Gemeentehuis, Hoornaar",1978::SB21,4223ME,1488,979,9,2,0,0,0,865,125,0,0,0,0,0,990,233,35,114,95,207,66,44,133,52
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Ons Dorpshuis, Schelluinen",1978::SB22,4209AP,1013,641,2,0,0,0,0,575,68,0,0,0,0,0,643,91,49,82,42,154,71,43,83,26
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Gemeenschapshuis De Til, Giessenburg",1978::SB23,3381BS,1477,1063,9,2,0,0,0,975,99,0,0,0,0,0,1074,279,46,71,79,167,83,46,242,50
Rivierenland,Molenlanden,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Oude School, Giessenburg",1978::SB24,3381KR,644,491,5,3,0,0,0,442,57,0,0,0,0,0,499,91,16,29,15,136,76,14,94,20
