contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,Betaalbaar Water,AWP niet politiek wel deskundig,50PLUS
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Verzorgingshuis Vredewold,1969::SB1,9351 BP,1265,590,4,4,0,0,0,554,43,0,1,0,1,0,597,201,87,83,77,52,36,13,41
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Gemeentehuis Leek,1969::SB2,9351 BJ,944,470,6,2,0,0,0,430,48,0,0,0,0,0,478,151,41,53,69,60,45,8,43
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dienstencentrum De Schutse,1969::SB3,9351 KP,1161,783,8,4,1,2,1,747,50,0,0,3,0,0,798,298,137,56,84,63,77,12,56
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Cazemier Boerderij,1969::SB4,9356 AT,1363,908,11,3,0,0,0,837,85,0,0,0,0,0,922,282,121,74,110,143,81,23,74
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Wooncentrum Tolberterheem,1969::SB5,9356 CT,1320,649,2,4,0,1,0,616,40,0,0,1,0,0,656,240,88,54,78,67,60,24,38
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau De Groene Borg,1969::SB6,9354 BC,867,489,1,2,0,0,0,445,47,0,0,0,0,0,492,114,46,71,59,103,48,20,28
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau De Vijverborg,1969::SB7,9354 BW,1325,635,6,0,0,0,0,582,59,0,0,0,0,0,641,156,66,100,64,150,55,19,25
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Gasterij Inkies,1969::SB8,9355 TD,783,519,5,2,0,0,2,478,46,0,0,0,0,0,526,158,57,52,106,88,22,16,20
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau MCO De Gaveborg,1969::SB9,9828 RC,553,319,5,2,0,0,0,294,32,0,0,0,0,0,326,146,41,11,42,27,35,3,14
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Het Bolwerk,1969::SB10,9812 PL,263,218,0,1,0,0,0,200,19,0,0,0,0,0,219,51,14,10,118,9,7,6,3
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Sportcentrum Leek,1969::SB11,9351 NV,1232,787,15,4,0,0,0,715,91,0,0,0,0,0,806,281,89,72,92,127,74,23,29
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Sportpark Oostindie,1969::SB12,9351 XZ,1292,790,7,1,0,0,0,714,84,0,0,0,0,0,798,246,85,104,136,128,54,20,17
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Voormalige Van Panhuysschool,1969::SB13,9351 CG,1215,552,4,1,0,0,0,514,43,0,0,0,0,0,557,197,65,44,93,46,58,11,38
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau De Bibliotheek Leek,1969::SB14,9351 HC,1148,569,6,2,0,0,0,533,44,0,0,0,0,0,577,206,76,41,95,56,50,13,32
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Sportcentrum Leek 2,1969::SB15,9351 NK,1011,376,7,1,0,0,0,368,16,0,0,0,0,0,384,154,65,30,30,39,34,9,15
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Gemeentehuis Zuidhorn,1969::SB16,9801 AJ,1232,1035,7,1,0,0,0,957,86,0,0,0,0,0,1043,323,163,90,240,90,73,33,23
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Dörpsstee,1969::SB17,9804 RL,1147,681,8,3,0,0,0,642,50,0,0,0,0,0,692,199,80,64,217,40,34,26,21
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Zonnehuis locatie Oostergast,1969::SB18,9801 VG,998,647,5,2,0,0,0,585,69,0,0,0,0,0,654,187,89,77,160,60,43,18,13
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Eiberhof,1969::SB19,9801 HB,1356,556,10,0,0,0,1,520,45,0,0,0,0,0,566,131,79,64,159,53,43,10,17
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau De Wierde,1969::SB20,9843 EJ,1004,609,9,3,0,0,0,585,35,0,1,0,0,0,620,154,76,133,85,51,68,18,24
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Lauwerscollege,1969::SB21,9843 BG,953,513,12,1,0,0,0,489,37,0,0,0,0,0,526,131,65,117,73,53,37,21,16
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau 't Bartoleshûs,1969::SB22,9845 AK,58,2,0,0,1,0,0,3,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis De Wending,1969::SB23,9844 PE,0,4,0,0,0,0,0,2,2,0,0,0,0,0,4,0,2,0,2,0,0,0,0
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Soltketen,1969::SB24,9881 PA,408,263,6,0,0,0,0,250,19,0,0,0,0,0,269,70,10,63,47,22,31,7,13
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis 't Schanshuus,1969::SB25,9842 PE,361,231,1,1,0,0,0,219,14,0,0,0,0,0,233,76,17,52,35,20,9,8,14
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau De Meeden,1969::SB26,9831 RD,882,589,5,1,0,0,0,541,54,0,0,0,0,0,595,178,90,76,133,34,40,11,27
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau 't Hoge Hof,1969::SB27,9831 RZ,881,509,5,0,0,0,0,479,35,0,0,0,0,0,514,156,51,78,114,29,44,8,29
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Den Ham,1969::SB28,9833 PB,250,135,2,1,0,0,0,125,13,0,0,0,0,0,138,34,7,33,27,22,5,3,4
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Hornhuis,1969::SB29,9832 PD,340,197,4,1,0,0,0,180,22,0,0,0,0,0,202,79,21,22,32,22,11,9,1
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Humsterland,1969::SB30,9883 PE,1069,630,5,5,0,0,0,590,50,0,0,0,0,0,640,114,53,86,266,37,45,11,18
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Eisseshof,1969::SB31,9884 PC,209,139,1,1,0,0,0,124,17,0,0,0,0,0,141,49,15,26,32,5,5,1,6
Noorderzijlvest,Westerkwartier,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,Stembureau Dorpshuis Heralmahuus,1969::SB32,9886 PG,143,83,0,0,0,0,0,80,3,0,0,0,0,0,83,28,11,12,19,11,0,2,0
