contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Staatkundig Gereformeerde Partij (SGP),Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,50PLUS,AWP Niet Politiek Wel Deskundig
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Ons Dorpshuis, Kruiningen",0703::SB1,4416 BK,704,544,2,5,0,0,1,491,59,0,0,0,0,0,551,60,189,4,95,35,55,30,18,19,39
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Verenigingsgebouw Geref. Gemeente, Kruiningen",0703::SB2,4416 BJ,1142,832,3,0,0,0,0,708,127,0,0,0,0,0,835,65,452,3,79,59,65,29,32,15,33
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Dorpshuis Kaj Munk, Hansweert",0703::SB3,4417 AA,1355,726,14,0,0,0,0,653,87,0,0,0,0,0,740,43,16,5,262,60,219,30,13,41,37
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Dorpscentrum MeerWaarde, Waarde",0703::SB4,4414 AK,1001,751,2,1,0,0,0,655,99,0,0,0,0,0,754,99,428,7,77,29,15,19,42,16,19
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Kerkelijk centrum De Haven,0703::SB5,4401 EE,1190,676,4,2,0,0,0,597,85,0,0,0,0,0,682,85,223,7,134,38,29,30,60,35,35
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau De Putter, Oostdijk",0703::SB6,4415 AE,423,326,4,0,0,1,0,286,43,0,1,0,0,0,329,27,245,1,20,7,1,3,18,0,4
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Verenigingsgebouw Geref. Gemeente, Yerseke",0703::SB7,4401 CB,1429,976,1,5,0,1,0,828,155,0,0,1,0,0,983,73,551,6,132,41,23,20,76,27,27
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Calvijn College (ingang Westhof), Krabbendijke",0703::SB8,4413 GB,1020,664,3,1,0,0,0,582,85,0,1,0,1,0,667,74,381,3,93,20,15,10,44,16,8
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Voetbalvereniging Krabbendijke,0703::SB9,4413 CN,1088,839,7,2,0,0,0,750,98,0,0,0,0,0,848,144,353,3,114,19,58,26,64,30,28
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Dorpshuis Luctor et Emergo, Rilland",0703::SB10,4411 AP,1318,744,10,1,0,2,1,679,77,0,0,2,0,0,757,101,94,11,150,74,91,46,58,70,49
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Seniorencomplex Oostkilhoek, Rilland",0703::SB11,4411 AC,1206,491,5,0,0,1,2,446,49,0,0,1,0,0,497,63,75,11,101,51,51,34,28,40,37
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Brandweerkazerne, Yerseke",0703::SB12,4401 KW,1384,671,7,0,0,0,0,598,80,0,0,0,0,0,678,88,202,15,162,53,22,22,63,24,20
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Zorgcentrum Moerzicht, Yerseke",0703::SB13,4401 HZ,1292,877,9,1,0,0,1,750,136,0,0,0,0,0,887,118,289,7,142,61,37,42,100,48,33
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Reimerswaalhal, Kruiningen",0703::SB14,4416 RC,1513,703,8,3,0,0,0,625,89,0,0,0,0,0,714,66,263,8,109,61,55,41,32,38,30
Scheldestromen,Reimerswaal,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Verenigingsgebouw Geref. Kerk, Krabbendijke",0703::SB15,4413 BK,1013,681,2,2,0,0,0,600,85,0,0,0,0,0,685,113,361,6,82,20,18,9,37,10,25
