contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Groen, Water & Land",VVD,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Natuurlijk BBW,50PLUS,AWP niet politiek wel deskundig,ChristenUnie
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Buurthuis Wijkaan Duin,0375::SB2,1944TD,2278,1003,26,4,0,0,0,959,74,0,0,0,0,0,1033,303,78,87,99,168,24,137,74,33
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Studio O,0375::SB3,1944VC,2216,1049,22,6,0,0,0,1005,73,0,0,1,0,0,1078,272,107,113,101,199,22,130,77,28
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Montessorischool,0375::SB4,1943MN,2211,1156,21,3,0,0,0,1087,96,0,0,3,0,0,1183,302,182,143,126,155,53,70,92,33
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Museum Kennemerland,0375::SB5,1943DK,2070,1270,15,3,0,1,0,1175,112,0,1,0,0,0,1287,346,198,139,154,204,28,103,68,30
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Nieuw Akerendam,0375::SB8,1942BJ,2050,868,16,3,0,0,0,805,82,0,0,0,0,0,887,231,163,66,100,140,22,61,54,31
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Woonzorgcentrum Lommerlust,0375::SB9,1941GA,2179,775,21,5,0,3,0,752,52,0,0,3,0,0,804,227,73,68,85,107,17,118,56,24
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Kennemer Theater,0375::SB10,1941HD,1630,657,16,9,0,0,0,633,51,0,0,2,0,0,684,168,55,73,68,117,15,98,38,25
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Kennemer College,0375::SB11,1945SR,2214,924,25,6,0,0,0,879,75,0,1,0,0,0,954,245,72,78,100,158,28,143,69,31
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Huis ter Wijck,0375::SB12,1945WK,2058,747,33,10,0,0,0,737,53,0,0,0,0,0,790,173,89,64,88,148,24,107,31,23
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Immanuelkerk,0375::SB13,1945PG,1398,394,9,3,0,0,0,379,27,0,0,0,0,0,406,104,31,40,30,71,7,69,32,10
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau SWB ""De Grote Beer""",0375::SB14,1945TT,1471,654,15,0,0,0,0,615,54,0,0,0,0,0,669,141,47,59,94,122,21,94,54,22
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Amstelstaete,0375::SB15,1946RT,1627,527,10,2,0,0,0,495,44,0,0,0,0,0,539,144,23,54,29,133,24,71,36,13
Hollands Noorderkwartier,Beverwijk,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau RIBW ""De Fontein""",0375::SB16,1946AB,1655,577,10,2,0,0,0,551,38,0,0,0,0,0,589,151,39,55,63,124,17,88,25,15
