contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau OBS Valckesteyn Noord,0613::SB1,3176 VA,2018,1102,24,6,0,0,1,1020,111,0,0,0,0,0,1132,274,76,217,76,70,13,56,121,42,157
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Cultureel centrum De Brinkhoeve,0613::SB2,3171 GG,1570,773,19,4,0,0,0,727,69,0,0,0,0,0,796,189,71,93,55,52,29,48,87,43,106
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Delta Psychiatrisch Centrum,0613::SB3,3172 AA,1040,383,5,9,0,0,0,355,42,0,0,0,0,0,397,99,34,47,41,37,3,12,43,9,58
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau FPC De Kijvelanden,0613::SB4,3172 AB,191,26,0,0,0,0,0,26,0,0,0,0,0,0,26,4,2,1,8,2,0,3,5,1,0
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Hooge Werf Zorgcentrum,0613::SB5,3171 BJ,1675,1084,19,5,0,3,0,1022,89,0,0,3,0,0,1111,272,121,147,114,73,25,41,117,34,140
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Korfbalvereniging RWA,0613::SB6,3171 AL,1149,635,7,3,0,0,0,578,70,0,0,3,0,3,648,156,65,98,57,51,13,31,66,22,76
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau OBS De Overkant,0613::SB7,3161 LG,1467,829,18,1,0,0,0,775,73,0,0,0,0,0,848,185,82,100,52,66,12,44,125,56,107
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Hervormd Centrum,0613::SB8,3161 AC,1412,721,3,3,0,2,1,656,68,0,2,0,0,0,725,171,89,102,42,66,3,63,71,24,90
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Maranathakerk Rhoon,0613::SB9,3161 HG,1482,978,13,8,0,1,0,922,78,0,0,1,0,0,1000,217,143,188,85,68,18,80,71,33,75
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Klepperwei,0613::SB10,3161 TW,1135,736,18,3,0,1,0,696,62,0,0,1,0,0,758,163,107,87,60,49,12,31,104,22,101
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Lawn Tennis Club Rhoon,0613::SB11,3161 GM,1204,594,12,5,0,0,0,531,78,0,2,0,2,0,609,128,52,153,43,37,20,33,45,28,55
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkgebouw Portland A,0613::SB12,3162 WK,2056,760,11,5,0,0,0,679,97,0,0,0,0,0,776,219,52,155,65,51,9,27,62,43,77
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkgebouw Portland B,0613::SB13,3162 WK,1976,1021,16,3,0,1,0,925,116,0,0,1,0,0,1041,280,88,200,71,74,18,55,115,45,75
Hollandse Delta,Albrandswaard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Portocabin Parels,0613::SB14,3162 VK,1302,754,13,1,0,0,1,690,77,0,0,0,0,0,768,234,63,159,64,35,13,54,66,28,38
