contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,AWP niet politiek wel deskundig,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Water Natuurlijk,Lokaal Limburg,Waterbelang Maastricht,50PLUS
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau De Bombardon,1640::SB1,,1774,1171,34,6,0,2,0,1096,113,0,2,0,0,0,1209,90,9,163,2,659,5,33,4,4,6,117,43,1,35
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Zorgcentrum De Kreppel,1640::SB2,,1889,806,26,8,0,0,0,749,90,0,1,0,1,0,839,83,2,86,2,473,2,34,2,4,6,65,30,0,17
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau PDV De Vliegende Hollander,1640::SB3,,1804,539,16,5,0,0,0,514,47,1,0,1,0,0,561,39,8,74,1,290,0,11,0,4,2,66,25,0,19
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Baexheimerhof,1640::SB4,,2007,1080,33,5,0,0,0,986,132,0,0,0,0,0,1118,74,8,181,2,651,5,18,2,6,2,74,26,2,29
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Basisschool de Klink,1640::SB5,,1366,714,19,2,0,0,0,659,76,0,0,0,0,0,735,39,1,102,4,439,5,17,1,5,6,45,27,1,22
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Trefcentrum Kelpen-Oler,1640::SB6,,960,499,10,0,0,0,1,449,59,0,0,0,0,0,509,30,2,19,0,391,0,4,1,3,0,26,9,0,14
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Hotel - Restaurant De Beukelaer,1640::SB7,,1718,808,25,2,0,2,0,744,89,0,2,0,0,0,833,72,4,115,2,450,2,17,6,8,4,85,24,1,18
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Kloeästerhoaf,1640::SB8,,1807,893,30,8,0,0,0,834,97,0,0,0,0,0,931,77,10,139,3,482,8,14,1,13,2,71,49,3,21
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis de Klokkestoel,1640::SB9,,626,367,6,6,0,0,0,345,34,0,0,0,0,0,379,19,2,39,1,231,0,9,0,10,0,31,19,1,5
Limburg,Leudal,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Handbooglokaal Vriendschap & Strijd,1640::SB10,,1276,532,17,1,0,0,0,477,73,0,0,0,0,0,550,46,6,78,2,293,4,19,1,14,0,42,20,0,7
