contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,SGP-ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Ons-Platteland
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Winkelcentrum de Reigerhof (v.m. Foto Klein),1892::SB1,2914KE,2129,1683,35,7,0,3,1,1566,167,6,0,9,0,0,1734,366,344,214,112,207,219,94,127
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau De Batavier,1892::SB2,2912SG,2153,804,7,5,0,0,0,738,78,0,0,0,0,0,816,178,186,80,72,129,84,32,43
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Comenius College,1892::SB3,2914 PN,1962,881,16,0,0,0,2,794,100,0,1,0,1,0,896,179,159,92,70,137,87,58,99
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Brede School Esse Zoom,1892::SB4,2911 CV,2205,1357,19,2,0,1,2,1196,177,0,3,0,2,0,1375,393,301,113,115,177,94,62,102
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Elim School,1892::SB5,2912VK,1892,742,12,5,0,0,0,673,86,0,0,0,0,0,759,113,139,107,108,103,79,42,51
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Woonzorgcentrum De Meander,1892::SB6,2912 PA,1614,1129,18,4,0,0,1,1044,108,2,0,2,0,0,1153,202,198,141,125,164,140,54,105
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Ringvaartkerk (voorheen de Bron),1892::SB7,2914VJ,1786,1212,11,3,0,0,0,1102,124,0,0,0,0,0,1226,222,263,147,113,165,132,72,98
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Basisschool de Wingerd,1892::SB8,2914 TK,1623,768,27,0,0,0,0,735,59,0,1,0,1,0,794,159,195,99,71,88,66,40,50
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Kerkelijk Centrum,1892::SB9,2912AA,1659,955,14,3,0,1,0,872,99,0,1,0,0,0,971,213,138,102,131,234,56,29,52
Schieland en de Krimpenerwaard,Zuidplas,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Hervormd Centrum,1892::SB11,2761 AJ,1937,896,14,10,0,2,0,818,100,0,2,0,0,0,918,167,163,81,98,104,58,53,172
