contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,AWP niet politiek wel deskundig,50PLUS,ChristenUnie
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Boschpoort,1895::SB1,9671 GB,1216,781,18,5,0,0,0,743,61,0,0,0,0,0,804,271,125,101,69,76,94,45
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Leger des Heils,1895::SB2,9671 CC,1090,517,12,1,0,0,0,481,49,0,0,0,0,0,530,131,79,89,72,42,73,31
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Botanica-Hof,1895::SB3,9671 KZ,1628,765,19,5,0,0,2,719,68,0,0,0,0,0,789,283,157,63,60,43,106,53
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau OBS Beukenlaan,1895::SB4,9674 CC,1332,576,14,2,0,1,0,548,45,0,0,1,0,0,593,234,142,55,24,28,69,24
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau SOB kazerne,1895::SB5,9675 HJ,1436,775,14,2,0,0,0,710,81,0,0,0,0,0,791,286,128,135,36,59,77,54
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Speeltuinvereniging Bovenburen,1895::SB6,9675 JW,1503,577,11,3,0,0,0,543,49,1,0,1,0,0,592,263,93,46,29,41,83,22
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Renselheerdt,1895::SB7,9675 AB,1112,581,12,4,0,0,0,555,42,0,0,0,0,0,597,211,115,41,47,36,96,35
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Voormalig SBO Delta,1895::SB8,9675 HH,1073,397,5,4,0,0,0,373,33,0,0,0,0,0,406,139,77,35,30,36,51,29
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Het Parkholt,1895::SB9,9675 JA,1428,891,12,2,0,1,0,837,69,0,0,1,0,0,906,291,136,164,80,62,95,63
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Campus Winschoten,1895::SB10,9673 GS,1248,455,13,1,0,1,0,434,36,0,0,1,0,0,470,146,79,73,30,46,53,28
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau 't Vondelhuys,1895::SB11,9673 JH,1782,815,21,7,0,1,0,779,65,0,0,1,0,0,844,295,152,78,65,46,99,80
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Brasserie Slag bij Heiligerlee,1895::SB12,9677 PB,1187,579,14,1,0,1,0,539,56,0,0,1,0,0,595,224,97,57,30,67,74,30
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis De Tille,1895::SB13,9678 PR,1185,622,9,2,0,0,0,581,51,0,1,0,1,0,632,184,70,82,49,52,53,132
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Eextahal Scheemda,1895::SB14,9679 HA,1601,756,10,6,0,0,0,719,53,0,0,0,0,0,772,240,128,105,107,52,77,47
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Nieuw Vredenhoven,1895::SB15,9679 AX,1252,466,16,1,0,0,0,449,34,0,0,0,0,0,483,120,87,50,77,42,46,44
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dependance gemeentehuis,1895::SB16,9679 BR,1257,883,24,8,0,0,0,853,63,1,0,1,0,0,916,265,151,99,123,101,81,63
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Kantine vv Oldambtster Boys,1895::SB17,9943 PA,374,230,3,1,0,0,0,207,27,0,0,0,0,0,234,89,31,25,14,30,33,8
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis 't Trefpunt,1895::SB18,9944 AG,1116,537,10,0,0,3,0,493,54,0,0,0,0,0,547,178,65,90,59,64,60,21
Hunze en Aa's,Oldambt,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gasterij Smits,1895::SB19,9681 AL,1716,919,17,9,0,0,0,855,90,0,0,0,0,0,945,247,140,89,185,63,99,96
