contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Stadhuis,0193::SB1,8011 PK,1836,1277,46,2,0,1,1,1236,89,0,0,1,0,0,1326,34,333,16,387,86,121,192,108
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Kantine tennisvereniging ZLTB,0193::SB2,8019 AN ,1912,1124,33,2,0,1,1,1043,114,0,1,0,0,0,1158,47,304,13,278,58,154,151,119
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Woonzorgcentrum De Nieuwe Haven,0193::SB3,8011 AS,1997,651,20,2,0,0,0,620,53,0,0,0,0,0,673,45,120,8,183,50,85,92,68
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Stadkamer Centrum,0193::SB4,8011 CV,1661,982,22,3,0,1,0,932,74,0,1,0,0,0,1006,32,185,15,323,44,153,165,65
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Wijkcentrum De Enk,0193::SB5,8012 VA,1761,1243,45,2,0,1,1,1212,78,0,0,1,0,0,1291,45,166,11,471,91,187,192,80
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Het Mozaïek locatie De Mozadance,0193::SB6,8012 DJ,1381,728,26,1,0,0,0,695,60,0,0,0,0,0,755,32,84,8,257,56,118,102,71
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Huis Assendorp (vh Molenhof),0193::SB7,8012 EJ,1356,716,27,2,0,0,0,704,41,0,0,0,0,0,745,51,104,5,224,63,97,109,63
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Twijn SO,0193::SB8,8013 TV,1757,804,30,1,0,0,2,784,49,0,0,0,0,0,835,61,80,22,289,87,108,96,61
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau School De Vlieger 2,0193::SB9,8043 RL,1169,547,21,3,0,0,2,504,65,0,0,0,0,0,571,22,192,3,101,21,92,68,48
Drents Overijsselse Delta,Zwolle,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau School Aquamarijn,0193::SB10,8021 AG,1681,806,39,3,0,0,1,800,47,0,0,0,0,0,848,43,152,10,239,49,138,98,77
