contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Groen, Water & Land",VVD,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Natuurlijk BBW,50PLUS,AWP niet politiek wel deskundig,ChristenUnie
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Ned. Herv. Weeshuis,0852::SB1,1141 BN,1613,1053,27,4,0,0,0,975,108,0,1,0,1,0,1083,221,146,250,126,146,30,50,63,21
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau zorgcentra Evean Swaensborch,0852::SB2,1141 VZ,1512,840,12,3,0,0,0,760,95,0,0,0,0,0,855,166,88,164,142,65,54,77,61,23
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau openbare basisschool De Fuut,0852::SB3,1141 JL,970,647,8,10,0,0,0,602,62,0,0,0,1,0,664,140,82,135,53,113,20,57,30,17
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Gemeentehuis,0852::SB4,1141 GV,1386,803,20,4,0,0,1,753,73,0,0,0,0,0,827,171,84,155,91,90,39,73,73,27
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau sporthal 't Spil,0852::SB5,1141 VC,1186,722,17,1,0,0,0,682,58,0,0,0,0,0,740,164,82,155,75,107,20,50,52,17
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Karmac Bibliotheek,0852::SB6,1141 SE,1284,906,9,8,0,0,1,834,88,0,0,0,0,0,923,218,103,188,93,114,44,66,65,15
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Het Hart van Katwoude,0852::SB7,1145 PN,234,169,3,1,0,0,0,149,23,0,1,0,1,0,172,39,23,31,23,12,22,7,5,7
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Dorpshuis Het Trefpunt,0852::SB8,1156 BM,1482,975,9,5,0,0,0,892,97,0,0,0,0,0,989,197,64,113,313,91,35,43,63,56
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Karmac bibliotheek,0852::SB9,1151 AK,923,632,4,0,0,0,0,578,58,0,0,0,0,0,636,131,80,253,39,58,19,14,29,9
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau wijksteunpunt Broek in Waterland,0852::SB10,1151 CD,1153,786,16,4,0,0,0,718,88,0,0,0,0,0,806,131,91,298,48,87,33,44,40,14
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau obs De Overhaal,0852::SB11,1153 PD,349,276,5,1,0,0,0,250,32,0,0,0,0,0,282,59,25,73,24,37,39,9,8,2
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Dorpshuis Ilpendam,0852::SB12,1452 PR,1447,1020,15,5,0,0,0,947,93,0,0,0,0,0,1040,351,118,121,205,99,37,41,36,12
Hollands Noorderkwartier,Waterland,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Stembureau Dorpshuis De Nieuwe Boet,0852::SB13,1454 AM,403,252,1,1,0,0,0,212,41,0,1,0,1,0,253,60,41,57,19,26,10,17,18,4
