contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,AWP niet politiek wel deskundig,Partij van de Arbeid (P.v.d.A.),CDA,Water Natuurlijk,Partij voor de Dieren,50PLUS,ChristenUnie-SGP,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),11,Waterschapspartij PUUR.
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Gemeentehuis Verdilaan,1783::SB1,2671 VW,1578,1457,18,6,0,0,0,1320,161,0,0,0,0,0,1481,426,90,121,337,205,86,77,57,6,3,3,46
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Bibliotheek,1783::SB2,2671 GK,1578,685,7,3,0,0,1,624,69,0,1,0,1,0,694,168,57,61,189,82,33,39,32,2,8,3,11
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Montessorischool,1783::SB3,2671 TB,1578,340,5,0,0,1,0,304,40,0,1,0,0,0,344,87,22,39,72,51,19,18,16,0,4,1,11
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Wijkcentrum Hooge Hasta,1783::SB4,2672 HC,1578,431,12,1,0,0,0,402,42,0,0,0,0,0,444,142,32,34,58,67,32,37,13,1,0,0,15
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Gemeentekantoor Ln vd Glazen Stad,1783::SB5,2672 TA,1578,617,6,1,0,0,1,546,77,0,0,0,0,0,624,224,46,29,130,82,30,19,25,3,3,3,23
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Careyn Rozenhof,1783::SB6,2671 KH,1578,919,12,6,0,0,0,849,88,0,0,0,0,0,937,253,51,54,254,108,55,45,74,1,1,9,14
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Gymzaal Wollegras,1783::SB7,2671 ZZ,1578,991,18,2,0,0,0,893,118,0,0,0,0,0,1011,283,80,89,245,105,53,54,52,3,3,4,20
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk De Binnenhof,1783::SB8,2671 EG,1578,848,13,5,0,0,1,785,80,0,0,0,0,0,866,248,62,63,186,118,48,59,35,0,4,1,24
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Openbare Daltonschool,1783::SB9,2672 BB,1578,707,6,0,0,0,0,643,70,0,0,0,0,0,713,200,75,67,145,88,45,26,34,1,2,4,20
Delfland,Westland,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Naaldwijk Brandweerkazerne,1783::SB10,2671 JP,1578,841,12,3,0,0,0,753,103,0,0,0,0,0,856,237,61,67,201,103,55,52,30,5,7,1,22
