contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,AWP niet politiek wel deskundig,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Water Natuurlijk,Lokaal Limburg,Waterbelang Maastricht,50PLUS
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Stadskantoor Sittard,1883::SB1,6131 LB,1908,807,34,8,0,0,0,761,88,0,0,0,0,0,849,123,3,30,10,3,412,32,3,1,10,104,29,12,35
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Schouwburg De Domijnen,1883::SB2,6131 AJ,1792,781,41,6,0,0,0,774,56,2,0,2,0,0,830,93,3,29,14,3,401,53,1,0,6,94,39,2,43
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Multifuntioneel Centrum Sanderbout,1883::SB3,6134 TZ,1817,647,0,19,0,0,0,579,87,0,0,0,0,0,666,41,9,38,9,6,328,23,6,0,6,55,47,7,72
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis de Landjwaer,1883::SB4,6133 AJ,1736,1187,33,6,0,0,1,1077,148,0,0,0,0,0,1226,97,8,49,18,5,571,71,3,0,17,197,75,5,71
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Fanfarezaal St. Jan,1883::SB5,6132 CD,2038,1115,38,8,0,0,1,1004,158,2,0,2,0,0,1163,234,4,33,21,7,543,60,3,0,22,93,35,7,53
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Zorgcentrum de Kollenberg,1883::SB6,6137 AC,1100,528,26,10,0,0,0,521,43,0,0,0,0,0,564,61,5,25,7,2,261,20,1,1,12,73,23,3,34
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Tafeltenniscentrum Sittard,1883::SB7,6137 PE,1680,688,27,10,0,0,0,664,59,0,2,0,2,0,723,44,5,42,6,0,403,29,2,3,3,62,48,8,33
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis Broeksittard,1883::SB8,6137 SR,1721,654,25,3,0,0,0,599,83,0,0,0,0,0,682,40,10,46,6,3,353,27,0,1,9,64,47,4,44
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Hogeschool Zuyd,1883::SB9,6131 MT,1379,539,17,6,0,0,0,508,54,0,0,0,0,0,562,45,1,28,10,2,281,15,0,0,7,79,28,5,38
Limburg,Sittard-Geleen,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Xonar,1883::SB10,6132 EL,1403,448,12,3,0,0,1,419,45,2,0,2,0,0,465,23,5,28,8,2,217,18,1,3,7,63,40,2,31
