contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,ChristenUnie,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),Lokaal Waterbeheer,AWP niet politiek wel deskundig,50PLUS,Verenigde Senioren Partij
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Huis van de Stad (Raadzaal),0243::SB1,3841AA,1461,1105,20,3,1,0,3,1018,106,0,1,0,0,0,1127,228,111,131,120,120,49,191,83,62,10
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau CBS 'Het Kompas',0243::SB2,3841KK,1528,688,9,0,0,0,0,617,80,0,0,0,0,0,697,103,76,129,76,84,19,137,17,44,3
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau CBS 'De Rank',0243::SB3,3841CV,1016,507,15,1,0,0,0,473,50,0,0,0,0,0,523,122,66,45,59,51,10,89,38,26,1
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Sociaal Centrum 'De Kiekmure' (1),0243::SB4,3842GA,1605,885,27,2,0,0,1,838,77,2,0,2,0,0,916,111,121,142,70,79,67,166,45,74,10
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Sociaal Centrum 'De Kiekmure' (2),0243::SB5,3842GA,1829,1018,28,7,0,0,0,960,93,0,0,0,0,0,1053,121,158,163,57,107,51,219,42,93,7
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Mehmet Akif Moskee,0243::SB6,3842GV,1607,452,38,4,0,0,0,417,78,1,0,1,0,0,495,50,43,59,48,76,13,111,19,24,9
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Buurthuis 'de Tweeling',0243::SB7,3843EB,2116,743,12,0,0,0,0,689,66,0,0,0,0,0,755,68,78,159,62,74,54,149,39,55,5
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Clusterhuis,0243::SB8,3844MB,1401,414,8,1,1,0,0,391,33,0,0,1,0,0,424,28,28,73,50,57,16,82,36,34,10
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Gebouw Stedelijke Harmonie,0243::SB9,3842GD,2200,927,13,5,0,1,0,859,87,0,0,1,0,0,946,123,108,125,91,94,44,187,53,90,12
Vallei en Veluwe,Harderwijk,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau CBS 'Willem-Alexander',0243::SB10,3843BG,1507,923,9,2,0,0,0,841,93,0,0,0,0,0,934,136,130,181,87,75,31,172,63,47,1
