contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Gemeentehuis,0384::SB1,1111 ZB,2216,1353,34,20,0,0,1,1304,103,1,0,1,0,0,1408,216,262,250,212,96,87,98,27,49,1,13,42
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zorgcentrum De Diem,0384::SB3,1111 AM,1179,757,10,5,0,0,0,722,50,0,0,0,0,0,772,130,156,125,133,55,44,55,3,21,4,3,28
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Sociaal Cult. Centrum De Schakel,0384::SB4,1111 CC,1038,608,11,2,0,0,0,572,49,0,0,0,0,0,621,81,117,86,102,64,36,56,7,26,2,8,23
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Portocabine NS-station Diemen,0384::SB5,1111 LZ,1804,989,27,10,0,0,1,940,85,0,0,0,0,0,1026,130,197,163,161,68,76,92,14,43,2,11,32
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Sporthal Diemen,0384::SB6,1111 ET,2152,987,19,12,0,2,0,898,122,0,0,2,0,0,1020,195,189,209,147,47,69,50,12,38,3,4,24
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Brede School Noorderbreedte,0384::SB7,1111 WD,1756,1171,30,3,0,1,0,1074,131,0,0,1,0,0,1205,223,248,207,140,100,68,90,7,47,2,4,35
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Wijkcentrum Noord,0384::SB8,1113 HM,3375,1502,36,5,0,0,1,1415,127,0,0,0,0,0,1543,302,312,197,171,95,85,187,16,85,8,3,41
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zorgcentrum Berkenstede,0384::SB10,1112 CL,1293,614,24,3,0,0,0,589,52,0,0,0,0,0,641,65,137,100,88,48,34,79,17,19,2,0,25
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Sportcentrum Duran,0384::SB11,1112 BE,2086,1009,18,7,0,0,0,934,100,0,0,0,0,0,1034,133,204,131,187,42,65,128,18,38,8,8,47
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Keet Boschplaat,0384::SB14,1112 KA,647,417,6,4,0,0,0,397,30,0,0,0,0,0,427,67,73,78,76,22,21,35,5,15,2,4,19
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Huis van de Buurt 't Kruidvat,0384::SB23,1112 BB,2339,601,17,11,0,0,0,573,56,0,0,0,0,0,629,69,121,100,83,33,40,71,4,28,2,4,46
"Amstel, Gooi en Vecht",Diemen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau locatie Greystar (Campus Diemen),0384::SB28,1112 XC,3496,750,26,2,0,0,0,744,34,0,0,0,0,0,778,117,149,162,141,33,41,16,8,31,3,14,35
