contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,FNP,Partij van de Arbeid (P.v.d.A.),Lagere Lasten Burger,VVD,ChristenUnie,Partij voor de Dieren,50PLUS
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Woonwinkel Thús,1900::SB1,8601 CW,1072,642,7,2,0,0,0,616,34,0,1,0,1,0,650,84,99,92,95,54,93,30,50,45
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Doarpshûs It Nije Formidden,1900::SB2,8633 JA,693,476,3,2,0,0,0,436,45,0,0,0,0,0,481,79,98,70,46,60,50,25,23,25
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau ROC Friese Poort,1900::SB3,8602 JX,1093,571,11,2,0,0,0,532,52,0,0,0,0,0,584,137,102,92,68,37,55,31,26,23
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Ut Wykje,1900::SB4,8607 BG,1198,436,8,6,0,0,0,414,36,0,0,0,0,0,450,42,61,66,58,80,28,22,31,48
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau De Eekmolen,1900::SB5,8606 EJ,1123,520,7,1,0,0,0,493,35,0,0,0,0,0,528,72,69,81,76,64,38,39,28,53
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Frittemahof,1900::SB6,8604 AA,1442,993,11,6,0,0,0,925,86,0,0,1,0,1,1011,205,171,109,127,70,123,103,44,41
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau It Skûlplak,1900::SB7,8603 AP,1355,712,8,5,0,0,0,672,53,0,0,0,0,0,725,106,134,109,108,68,57,39,49,42
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Dr Wumkeshûs,1900::SB8,8606 AV,1223,600,14,3,0,0,0,573,44,0,0,0,0,0,617,88,90,97,73,80,54,32,42,44
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Parkflat (Stadsfenne),1900::SB9,8604 ZG,1283,801,4,2,0,0,0,751,56,0,0,0,0,0,807,138,152,91,111,79,68,76,54,32
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Bonifatiushuis,1900::SB10,8605 BW,910,562,13,6,2,1,0,542,42,0,0,3,0,0,584,104,110,73,83,31,66,31,30,34
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Brede School Duinterpen I  (sporthal),1900::SB11,8607 GM,1142,636,4,0,0,0,0,582,58,0,0,0,0,0,640,73,87,89,99,57,101,54,39,37
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau De Schuttersheuvel,1900::SB12,8602 TM,1042,480,8,1,0,0,0,453,36,0,0,0,0,0,489,72,99,69,86,38,41,25,27,23
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Wijkgebouw De Spil,1900::SB13,8608 WD,1464,762,12,4,0,7,0,729,56,0,0,7,0,0,785,80,141,119,151,86,29,48,51,57
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,"Stembureau Wijkgebouw ""De Watertoren""",1900::SB14,8608 CX,1894,639,7,9,0,0,0,610,45,0,0,0,0,0,655,76,86,75,101,115,34,31,63,58
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau 't Convenant,1900::SB15,8602 XW,1103,469,4,5,0,0,0,451,27,0,0,0,0,0,478,49,106,80,79,42,25,32,33,23
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Johannes Postschool,1900::SB16,8602 BK,1421,647,6,0,0,0,0,602,51,0,0,0,0,0,653,98,95,72,108,84,55,54,54,27
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Brede School Duinterpen II (sporthal),1900::SB17,8607 GM,1216,717,7,1,0,0,0,668,57,0,0,0,0,0,725,92,98,77,115,72,106,56,53,48
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Wurkwinkel Noorderbrug (zij-ingang),1900::SB18,8604 CA,1423,839,10,3,0,0,0,800,52,0,0,0,0,0,852,117,143,93,105,60,159,65,57,40
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Vergaderzaal achter het Witte Kerkje,1900::SB19,8601 GP,705,466,4,1,0,0,0,441,31,1,0,1,0,0,472,57,97,75,54,28,61,30,43,21
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau De Zwetser,1900::SB20,8603 BP,1381,949,11,0,0,4,0,886,78,0,0,4,0,0,964,156,192,115,168,79,85,65,41,48
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau It Roefke,1900::SB21,8605 AV,1151,600,10,5,0,0,0,571,43,0,1,0,1,0,614,111,91,77,88,74,41,26,41,51
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Woonzorgcentrum Nij Ylostins,1900::SB22,8651 AP,1151,690,7,1,0,0,0,653,45,0,0,0,0,0,698,132,120,130,81,67,44,60,32,24
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau De Eehof,1900::SB23,8651 EH,1277,840,10,7,0,0,0,777,80,0,0,0,0,0,857,148,201,136,115,51,61,49,40,39
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau m.f.c. De Driuwpolle,1900::SB24,8551 NW,1323,829,7,0,0,0,2,765,69,0,0,0,0,0,836,229,132,133,72,76,100,34,15,38
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Woonzorgcentrum Talmastate,1900::SB25,8621 CX,928,563,3,3,0,0,0,533,36,0,0,0,0,0,569,155,81,83,44,47,61,42,31,19
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau m.f.c. De Mande,1900::SB26,8771 RS,837,530,2,1,0,0,0,487,46,0,0,0,0,0,533,169,83,93,26,36,53,19,29,22
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau m.f.c. It Joo,1900::SB27,8614 JK,599,397,1,1,0,0,0,354,45,0,0,0,0,0,399,123,59,98,22,25,26,21,17,6
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Dorpshuis Scharnegoutum Bureau I,1900::SB28,8629 RL,882,650,9,2,0,0,0,616,45,0,0,0,0,0,661,151,106,123,59,56,51,50,29,25
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau m.f.c. It Harspit,1900::SB29,8625 HE,1232,789,6,5,0,0,0,724,76,0,0,0,0,0,800,171,113,200,54,48,98,45,27,33
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Dorpshuis Oan it Far,1900::SB30,8622 XV,723,436,5,2,0,0,0,393,50,0,0,0,0,0,443,124,62,64,32,51,39,26,13,25
Fryslân,Súdwest-Fryslân,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Woonzorgcentrum Teatskehûs,1900::SB31,8615 LM,613,420,2,0,0,0,0,393,29,0,0,0,0,0,422,128,37,146,28,24,33,13,9,2
