contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,AWP niet politiek wel deskundig,VVD,ChristenUnie,OUDERENPARTIJ,Staatkundig Gereformeerde Partij (SGP),8,50PLUS
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Gemeentehuis,0114::SB1,,1900,1190,4,32,0,0,0,1114,112,0,0,0,0,0,1226,220,313,108,223,81,119,14,10,102
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorgcentrum Oostermarke,0114::SB2,,1056,691,9,3,0,0,0,653,50,0,0,0,0,0,703,129,205,57,130,67,38,10,0,55
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau De Goede Herderkerk,0114::SB3,,772,495,12,2,0,1,0,465,43,0,1,0,0,0,508,79,160,44,69,63,42,3,1,34
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorgcentrum Holdert,0114::SB4,,772,362,20,1,0,0,0,352,31,0,0,0,0,0,383,67,90,25,30,25,80,1,0,44
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Wijkcentrum Meerstede,0114::SB5,,1756,670,17,3,0,0,0,632,58,0,0,0,0,0,690,75,205,50,42,37,143,14,3,101
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Ichthus,0114::SB6,,1226,676,13,2,0,0,0,646,45,0,0,0,0,0,691,112,172,63,101,81,69,12,2,64
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau o.b.s. Emmermeer,0114::SB8,,2124,848,14,5,0,8,0,809,66,0,0,8,0,0,875,123,258,79,77,61,124,7,4,115
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorgcentrum Zuidermarke,0114::SB9,,1597,824,25,14,0,0,0,802,60,0,1,0,1,0,862,112,214,65,86,57,153,9,2,126
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Hotel ten Cate,0114::SB10,,673,360,6,1,0,0,0,331,36,0,0,0,0,0,367,88,112,36,51,31,24,3,0,15
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Dorpshuis 't Hoefijzer Zuidbarge,0114::SB11,,776,419,15,3,0,2,0,401,38,0,0,2,0,0,439,86,137,41,73,34,20,1,0,27
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau De Schanskuil,0114::SB12,,337,207,1,3,4,0,0,190,17,0,4,0,0,0,207,33,57,24,13,22,27,2,1,28
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Dorpshuis Weerdinge,0114::SB13,,33,40,1,1,0,0,0,39,3,0,0,0,0,0,42,2,17,4,4,1,6,0,0,6
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau De Marke,0114::SB14,,2153,1027,26,9,0,20,0,997,85,0,0,20,0,0,1082,140,312,97,82,68,215,7,6,100
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kerkgebouw het Baken,0114::SB15,,1901,655,34,3,0,0,0,641,52,1,0,1,0,0,693,74,240,59,28,43,116,6,4,85
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorgcentrum Heidehiem,0114::SB16,,626,242,6,0,0,0,0,230,18,0,0,0,0,0,248,49,65,20,26,15,39,5,0,23
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau De Schepershof,0114::SB19,,1423,730,14,1,0,0,0,683,62,0,0,0,0,0,745,84,266,87,54,38,114,4,3,80
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Verpleegtehuis De Horst,0114::SB20,,2051,738,19,9,0,0,0,689,77,0,0,0,0,0,766,95,272,62,55,44,99,6,3,102
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorgcentrum De Schans,0114::SB21,,2004,866,22,4,0,0,0,824,68,0,0,0,0,0,892,111,300,88,87,58,129,9,6,78
Vechtstromen,Emmen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Stichting PAND 88,0114::SB22,,1283,596,6,2,0,0,0,563,40,0,1,0,1,0,603,61,215,56,45,48,85,10,3,73
