contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gemeentehuis,1509::SB1,7081BN,1866,854,15,3,0,11,1,786,96,0,0,11,0,0,883,213,109,130,156,37,100,63,46
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Sportzaal Prinsenhof,1509::SB2,7081DG,1767,995,19,2,0,0,0,934,82,0,0,0,0,0,1016,237,128,116,189,32,119,72,102
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau DRU Cultuurfabriek,1509::SB3,7071BV,1837,911,25,4,0,0,0,854,86,0,0,0,0,0,940,134,154,114,231,23,149,57,49
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Mariaschool,1509::SB4,7071VG,1619,891,21,1,0,0,0,831,82,0,0,0,0,0,913,139,147,121,202,29,115,77,61
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Eendracht,1509::SB5,7071AH,1816,733,14,4,0,0,0,678,73,0,0,0,0,0,751,130,88,74,184,19,125,64,49
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau St Joris,1509::SB6,7071KA,1702,873,14,3,0,0,0,809,81,0,0,0,0,0,890,155,115,122,216,26,123,61,55
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gildegebouw Netterden,1509::SB7,7077AG,394,235,8,3,0,0,0,211,35,0,0,0,0,0,246,57,32,21,21,4,50,15,35
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Glazeren Kast,1509::SB8,7075AB,1550,824,9,3,0,0,0,770,66,0,0,0,0,0,836,194,76,94,89,208,71,33,59
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau t Dorpshuus,1509::SB9,7076AD,662,372,4,0,0,0,0,337,39,0,0,0,0,0,376,110,16,48,44,15,18,6,115
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Koenders,1509::SB10,7084AB,840,500,3,0,0,0,0,452,51,0,0,0,0,0,503,230,62,55,30,20,58,17,28
Rijn en IJssel,Oude IJsselstreek,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Ter Voert,1509::SB11,7078BC,824,453,9,0,0,0,0,424,38,0,0,0,0,0,462,184,51,49,65,24,33,21,26
