contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeentehuis,1684::SB1,5431 BV,1260,994,19,5,0,0,0,921,97,0,0,0,0,0,1018,181,299,117,117,191,59,30
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Ontmoetingscentrum 't Fort,1684::SB2,5431 MC,1454,529,16,1,0,0,0,508,38,0,0,0,0,0,546,125,121,51,44,138,35,15
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau 't Akkertje,1684::SB3,5434 PA,1072,540,9,4,0,0,0,495,58,0,0,0,0,0,553,116,145,95,43,61,50,30
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Café van Kempen,1684::SB4,5433 KA,340,230,0,0,0,0,0,212,18,0,0,0,0,0,230,53,57,49,30,21,14,6
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau De Agaat,1684::SB5,5435 XJ,415,249,3,1,0,1,0,232,20,0,1,0,0,0,252,74,76,42,15,23,15,4
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau MFA De Valuwe,1684::SB6,5431 AV,1211,606,18,3,0,2,1,567,57,0,2,0,0,0,625,90,147,34,119,120,59,37
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau OSB 't Startblok,1684::SB7,5431 ZR,1363,337,15,3,0,0,0,326,29,0,0,0,0,0,355,51,69,26,77,66,35,13
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Het Doehuis,1684::SB8,5431 JR,1585,749,13,8,0,5,0,723,52,0,0,5,0,0,775,93,251,59,97,145,76,28
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau IKC Dassenburcht,1684::SB9,5431 KJ,1359,631,12,3,0,0,0,566,80,0,0,0,0,0,646,91,221,63,77,124,33,22
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau De Nielt,1684::SB10,5432 DW,1822,892,19,3,0,3,0,848,69,0,0,3,0,0,917,132,300,130,127,111,61,31
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau basisschool De Waai (bureau 1),1684::SB11,5432 DH,1793,723,20,5,0,0,0,680,67,0,1,0,1,0,747,99,227,128,96,112,43,18
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau sporthal De Kloosterhof,1684::SB12,5437 AS,1396,758,28,1,0,1,0,712,76,0,0,1,0,0,788,286,174,103,41,88,45,21
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau De Burcht,1684::SB13,5439 ND,224,170,8,1,0,4,1,159,23,0,0,4,0,0,183,46,53,32,15,10,10,4
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau sporthal De Stappert (bureau 1),1684::SB14,5443 BE,1164,694,15,6,0,0,0,644,71,0,0,0,0,0,715,222,182,103,46,68,53,20
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Hof van Cuijk,1684::SB15,5431 EZ,1066,516,4,3,0,1,0,475,47,0,1,0,0,0,522,128,120,56,57,110,36,9
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau basisschool De Waai (bureau 2),1684::SB16,5432 DH,1648,636,12,0,0,2,0,596,54,0,0,2,0,0,650,80,200,123,76,99,40,18
Aa en Maas,Cuijk,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau sporthal De Stappert (bureau 2),1684::SB17,5443 BE,1164,534,21,0,0,0,0,509,48,0,0,2,0,2,557,196,106,92,35,60,29,16
