contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeentehuis Gemert,1652::SB1,,1939,1160,31,1,0,1,0,1045,146,0,1,0,0,0,1191,390,326,156,111,63,71,43
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Het Kunstlokaal,1652::SB3,,1912,1058,26,4,0,0,0,986,102,0,0,0,0,0,1088,247,375,92,139,54,108,43
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Kindcentrum ""De Samenstroom""",1652::SB5,,2188,898,30,2,0,0,0,812,118,0,0,0,0,0,930,242,286,150,77,47,64,32
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Basisschool 't Einder,1652::SB7,,1880,862,18,2,0,0,0,787,95,0,0,0,0,0,882,239,267,95,83,69,66,43
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Kindcentrum ""Berglaren""",1652::SB9,,1710,718,21,4,0,0,0,668,75,0,0,0,0,0,743,147,223,83,103,52,63,47
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Zorgboogcentrum ""Ruijschenbergh""",1652::SB11,,1814,851,28,2,0,0,0,814,67,0,0,0,0,0,881,244,229,83,107,43,100,45
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Cultuurhuis De Eendracht,1652::SB13,,1781,742,27,2,0,0,0,680,91,0,0,0,0,0,771,185,241,89,81,42,71,33
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Dorpshuis ""De Bron""",1652::SB101,,1472,780,31,3,0,0,0,723,91,0,0,0,0,0,814,309,194,74,72,36,64,31
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau MFA ""de Sprank""",1652::SB201,,1288,728,22,1,0,0,0,660,91,0,0,0,0,0,751,373,142,89,31,48,31,14
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Kindcentrum ""De Dompelaar""",1652::SB301,,882,442,2,2,0,0,0,389,57,0,0,0,0,0,446,272,60,38,15,18,24,15
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Het Parochiehuis,1652::SB401,,1775,671,15,8,0,0,0,615,79,0,0,0,0,0,694,192,159,105,48,53,77,37
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Kindcentrum ""De Bakelaar""",1652::SB403,,1951,895,35,4,0,0,0,837,97,0,0,0,0,0,934,327,201,150,47,54,75,41
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Zorgboogcentrum ""De Wilbertsdries""",1652::SB405,,1177,639,20,3,0,0,0,578,84,0,0,0,0,0,662,256,124,83,40,39,67,30
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Zorgboogcentrum ""De Berken""",1652::SB501,,1775,871,25,5,0,0,0,796,103,0,2,0,2,0,899,420,154,99,35,37,86,40
Aa en Maas,Gemert-Bakel,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Partycentrum ""D'n Eik""",1652::SB601,,921,489,8,1,0,0,0,450,48,0,0,0,0,0,498,243,99,64,13,27,29,14
