contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,AWP niet politiek wel deskundig,VVD,ChristenUnie,OUDERENPARTIJ,Staatkundig Gereformeerde Partij (SGP),8,50PLUS
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Gemeentehuis Dinkelland,1774::SB1,7591 MA,1767,1129,20,3,0,5,0,1039,118,0,0,5,0,0,1157,295,279,155,270,15,37,10,4,64
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau OBS Dr. M.L. Kingschool,1774::SB2,7591 XJ,1926,1029,22,2,0,0,0,967,86,0,0,0,0,0,1053,253,288,174,182,23,31,4,2,72
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorggroep St. Maarten,1774::SB3,7591 GX,1765,720,9,9,0,0,0,675,63,0,0,0,0,0,738,234,155,100,162,9,24,2,3,31
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Brandweerkazerne,1774::SB4,7591 BH,1671,904,24,5,0,2,0,840,95,0,0,2,0,0,935,224,227,167,200,11,19,9,4,43
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kulturhus De Mare,1774::SB5,7591 PC,889,451,4,0,0,0,0,401,54,0,0,0,0,0,455,133,47,216,30,2,3,7,3,10
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Gasterij de Smid,1774::SB6,7635 NC,853,490,1,2,0,0,0,433,60,0,0,0,0,0,493,269,114,35,41,9,6,7,1,8
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kulturhus Tilligte Terra Nova,1774::SB7,7634 PL,714,479,1,2,0,1,0,416,67,0,0,1,0,0,483,269,97,35,64,0,1,0,2,11
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Cafe Groot Agelo,1774::SB8,7636 RL,785,387,5,1,0,0,0,337,56,0,0,0,0,0,393,161,151,20,40,3,4,3,2,3
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Huize Sint Jozef,1774::SB9,7595 AP,1251,692,4,4,0,0,0,622,78,0,0,0,0,0,700,396,134,46,64,6,9,7,4,26
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau 't Trefpunt,1774::SB10,7595 XB,1137,721,6,5,0,0,0,667,65,0,0,0,0,0,732,364,142,48,104,8,9,6,2,38
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Café Bruins,1774::SB11,7597 LR,1318,799,10,5,0,0,0,678,136,0,0,0,0,0,814,560,96,25,82,5,5,2,4,20
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kulturhus Rabo-de CoCeR,1774::SB12,7596 KM,1858,1121,8,2,0,0,0,989,141,0,1,0,1,0,1130,605,258,67,129,9,8,2,6,37
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau RK Basisschool Willibrordus (D),1774::SB13,7561 PT,1531,983,8,2,0,3,0,889,107,0,0,3,0,0,996,683,132,41,72,12,10,3,1,29
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Huize Franciscus,1774::SB14,7631 AM,1782,1179,21,5,0,0,0,1099,106,0,0,0,0,0,1205,300,514,122,155,15,15,10,2,46
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Brede School de Bres,1774::SB15,7631 GR,1917,1189,20,0,0,0,0,1093,116,0,0,0,0,0,1209,237,582,141,151,18,27,5,2,26
Vechtstromen,Dinkelland,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Gravenstate Denekamp,1774::SB16,7591 PE,0,79,0,1,0,0,0,72,8,0,0,0,0,0,80,67,5,5,0,0,1,0,0,1
