contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stegemanhof,0197::SB1,7122 CG,1152,806,17,2,0,4,0,767,63,1,0,5,0,0,830,306,134,118,91,42,36,40,39
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Magnoliaschool,0197::SB2,7121 AM,1392,582,13,1,0,1,0,539,56,0,1,0,0,0,595,204,102,97,75,30,21,28,25
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau R.K. Kerk,0197::SB3,7121 ES,1166,674,21,0,0,0,0,637,58,0,0,0,0,0,695,262,106,92,78,47,22,40,27
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Schaersvoorde,0197::SB4,7122 AW,1149,680,13,10,0,0,0,635,68,0,0,0,0,0,703,252,98,60,109,53,28,46,34
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gebouw AD'69 (kantine),0197::SB5,7121 JB,1527,629,13,2,1,0,0,592,53,0,0,1,0,0,645,224,89,94,92,31,26,54,19
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Turks Cultureel Centrum,0197::SB6,7121 GK,1423,640,22,6,0,0,0,614,54,0,0,0,0,0,668,223,107,67,94,46,28,55,20
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Beth San,0197::SB7,7121 EG,1314,716,19,3,0,0,0,679,59,0,0,0,0,0,738,288,103,61,93,52,26,66,27
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Sporthal Aladna,0197::SB8,7121 WN,1225,768,17,3,0,0,0,724,64,0,0,0,0,0,788,288,121,76,118,46,30,44,45
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Ver.gebouw 't Dorpshuus IJzerlo,0197::SB9,7122 KH,783,417,9,2,0,0,0,382,46,0,0,0,0,0,428,248,47,53,15,14,14,9,17
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Kulturhus Lintelo,0197::SB10,7122 LX,956,535,5,1,0,0,0,493,48,0,0,0,0,0,541,250,69,97,26,18,26,14,35
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gebouw De Markerink,0197::SB11,7122 RK,894,514,7,1,0,0,1,469,52,0,0,0,0,0,522,293,34,76,37,20,12,12,30
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gebouw De Ringkamp,0197::SB12,7121 KL,872,330,7,0,0,1,0,286,50,0,1,0,0,0,336,171,39,43,19,16,7,16,19
Rijn en IJssel,Aalten,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Ambthuis,0197::SB13,7126 BC,1161,769,8,0,0,1,0,721,55,0,1,0,0,0,776,242,128,84,65,49,17,38,146
