contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,Betaalbaar Water,AWP niet politiek wel deskundig,50PLUS
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Ons Dorpshuis, Paterswolde",1730::SB1,9765 AP,459,319,8,1,0,2,0,315,16,1,0,3,0,0,331,93,67,17,12,33,48,11,38
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau De Notenkraker, Eelde",1730::SB2,9765 AC,752,335,5,1,0,0,0,308,32,0,1,0,1,0,340,87,49,31,16,60,37,27,28
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Verzorgingshuis Symphonie, Eelde",1730::SB3,9761 GR,1409,975,24,4,0,0,2,917,79,0,5,0,5,0,998,304,189,90,49,140,100,32,71
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Sportcentrum De Marsch, Paterswolde",1730::SB4,9765 EM,1329,987,14,6,0,1,0,924,84,0,0,1,0,0,1008,314,189,62,47,169,104,38,64
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Restaurant 't Huys van Bunne, Bunne",1730::SB5,9496 PA,652,365,2,1,0,0,0,322,46,0,0,0,0,0,368,94,50,39,16,88,54,16,8
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau MFA Borchkwartier (1), Eelderwolde",1730::SB6,9766 PP,1050,694,8,1,4,0,0,635,72,0,0,4,0,0,707,284,88,49,47,126,64,17,19
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Verzorgingscentrum Kornoeljehof, Vries",1730::SB7,9481 AD,1024,596,5,2,0,0,0,552,51,0,0,0,0,0,603,149,119,55,31,86,108,18,30
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau OBS De Vijverstee, Vries",1730::SB8,9481 GA,1193,960,12,3,0,0,0,896,79,0,0,0,0,0,975,262,190,85,54,86,210,25,48
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau MFA Yders Hoes, Yde",1730::SB9,9494 RB,45,26,1,0,0,0,0,22,5,0,0,0,0,0,27,9,5,1,0,2,7,1,1
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau MFA De Zeijer Hoogte, Zeijen",1730::SB12,9491 AA,587,388,7,1,0,0,0,363,33,0,0,0,0,0,396,123,60,27,18,84,38,18,20
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Gemeentehuis, Vries",1730::SB21,9481 AW,1218,514,10,0,0,0,0,479,45,0,0,0,0,0,524,142,79,53,45,65,97,15,18
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau Openbare Bibliotheek, Eelde",1730::SB22,9761 BA,348,186,2,1,0,0,0,168,21,0,0,0,0,0,189,66,40,6,3,18,23,10,20
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau OBS De Westerburcht (unit), Eelde",1730::SB23,9761 HJ,1278,659,10,2,0,0,0,625,46,0,0,0,0,0,671,234,123,33,42,59,93,27,48
Noorderzijlvest,Tynaarlo,AB2019_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2019,1,Noorderzijlvest,2019-03-20,"Stembureau MFA Borchkwartier (2), Eelderwolde",1730::SB25,9766 PP,1050,566,8,0,0,6,0,503,65,0,6,0,0,0,568,227,75,44,28,114,55,15,8
