contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,Partij voor de Dieren,ChristenUnie-SGP,50PLUS,Trots op Nederland (TROTS)
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Julianakerk,1525::SB1,2171 CZ,1988,1020,20,6,0,0,0,954,92,0,0,0,0,0,1046,276,195,132,121,65,95,40,81,15
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Gemeentekantoor Teylingen,1525::SB2,2171 CS,2447,1503,26,4,0,0,0,1395,136,0,2,0,2,0,1531,486,287,159,159,82,120,63,138,9
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,"Stembureau Stembureau Openb. Basisschool ""Het Bolwerk""",1525::SB3,2172 HD,2283,1353,17,3,0,0,0,1224,146,0,3,0,3,0,1370,453,260,135,143,59,108,57,119,19
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,"Stembureau Stembureau RK Basisschool ""De Springplank""",1525::SB4,2172 EA,1730,954,20,4,0,2,0,891,89,0,0,2,0,0,980,233,192,96,150,63,85,34,93,8
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Zorggroep Marente loc. Bernardus,1525::SB5,2171 AV,2156,1029,16,4,0,0,0,952,97,0,0,0,0,0,1049,260,178,138,129,48,105,46,111,14
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau obs Het Bolwerk locatie Diligence,1525::SB6,2171 MA,2114,1102,25,2,0,0,2,1032,95,0,0,0,0,0,1129,344,147,159,138,59,107,41,96,11
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,"Stembureau Stembureau Soc. Cult. Centrum ""Het Trefpunt""",1525::SB9,2361 ET,1903,1199,20,4,0,0,0,1085,138,0,0,0,0,0,1223,299,222,155,152,74,124,37,122,14
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Soc. Cult. Centrum Het Trefpunt 2,1525::SB10,2361 ET,2081,1127,29,6,0,0,0,1046,116,0,0,0,0,0,1162,297,220,153,129,79,101,34,101,13
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Bestuurscentrum Teylingen,1525::SB14,2215 MA,2695,1185,23,10,0,0,0,1093,123,0,2,0,0,0,1216,327,169,167,159,86,113,60,88,16
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Roef (bij St. Bartholomeuskerk),1525::SB15,2215 KE,2052,1146,16,4,0,0,1,1066,99,0,0,0,0,0,1166,302,281,120,119,62,82,43,122,15
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,"Stembureau Stembureau Jeugdcentrum ""De Spelewey""",1525::SB16,2215 AB,1830,947,14,1,0,1,2,885,76,0,0,1,0,0,963,177,204,118,127,75,83,37,108,18
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Jongerencentrum @hok,1525::SB17,2215 KZ,2045,979,25,5,0,0,0,907,102,0,0,0,0,0,1009,318,211,118,100,50,75,32,61,14
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,"Stembureau Stembureau RK Basisschool ""Emmaus""",1525::SB18,2215 BG,2154,1179,15,3,0,0,1,1079,117,0,0,0,0,0,1197,333,198,137,140,84,113,68,99,7
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,"Stembureau Stembureau Cluster ""Hoogh Teylingen""",1525::SB19,2215 SZ,2052,1093,18,0,0,0,0,993,118,0,0,0,0,0,1111,372,170,131,128,62,90,55,71,14
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Mobiel stemb. Sassembourg,1525::SB20,2171 HC,1,262,1,1,0,0,0,238,26,0,0,0,0,0,264,75,83,32,19,8,12,10,22,1
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Mobiel stembureau  BNS en BC,1525::SB22,2215 RA,1,705,13,3,3,0,1,661,62,0,0,3,0,0,724,190,127,85,100,38,74,45,39,7
Rijnland,Teylingen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Mob.st.bureau Camping Spijkerboor,1525::SB23,2362 AH,1,72,0,0,0,0,2,60,10,0,0,0,0,0,72,10,33,15,2,3,3,2,4,0
