contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Parochiecentrum Het Klooster,0166::SB1,8261 AS ,1570,772,21,4,0,1,0,761,35,0,1,0,0,0,796,69,108,38,201,81,111,60,104
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Margaretha,0166::SB2,8261 EP,1454,693,15,1,0,0,0,654,55,0,0,0,0,0,709,58,107,42,168,50,114,79,75
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Wijkcentrum Reijersdam,0166::SB3,8262 CN,1409,682,14,4,0,0,0,643,57,0,0,0,0,0,700,117,71,44,123,107,93,53,74
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Westerkerk,0166::SB4,8262 DC,1400,776,18,4,0,1,2,752,45,0,0,1,0,0,799,146,58,57,140,82,138,45,110
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Myosotis,0166::SB5,8266 AB,1541,1036,6,0,0,2,0,933,107,0,2,0,0,0,1040,82,133,117,201,76,208,87,132
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Stadhuis,0166::SB6,8261 DD,1612,1233,28,4,0,0,0,1145,120,0,0,0,0,0,1265,111,130,130,273,91,216,104,178
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Het Stroomdal,0166::SB7,8266 KL,1101,897,11,0,0,0,0,810,98,0,0,0,0,0,908,26,173,147,111,67,208,49,116
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Ommeland,0166::SB8,8262 WE,1449,803,33,3,0,0,0,745,91,0,3,0,3,0,836,89,84,65,135,88,151,57,134
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Willem van Oranjeschool,0166::SB9,8265 ZD,1517,763,6,5,0,3,0,754,23,0,0,3,0,0,777,136,73,58,142,73,135,35,111
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Kerkelijk Centrum Open Hof,0166::SB10,8265 BB,1374,635,17,2,0,0,0,613,41,0,0,0,0,0,654,75,65,62,117,92,98,58,68
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Amandelboom,0166::SB11,8265 DA,1413,813,19,5,0,0,0,762,75,0,0,0,0,0,837,79,60,102,170,57,212,42,91
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Vijverhof,0166::SB12,8265 GB,1404,840,20,6,0,0,0,804,62,0,0,0,0,0,866,111,63,79,138,88,179,50,132
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Morgenster,0166::SB13,8265 KA,1373,803,17,2,0,0,0,738,84,0,0,0,0,0,822,92,75,58,182,78,166,44,108
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Veenhof,0166::SB14,8278 BC,602,423,0,0,0,1,0,366,56,0,1,0,0,0,422,3,32,205,21,5,85,9,63
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Vitree,0166::SB15,8264 PC,1668,1071,18,1,0,0,0,975,115,0,0,0,0,0,1090,131,145,90,163,91,194,62,195
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Schalmei,0166::SB16,8265 RG,1379,759,5,0,0,0,0,675,89,0,0,0,0,0,764,57,167,64,119,43,125,49,135
