contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,AWP niet politiek wel deskundig,VVD,ChristenUnie,OUDERENPARTIJ,Staatkundig Gereformeerde Partij (SGP),8,50PLUS
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Stadhuis,0173::SB1,7571 CD,1474,1035,26,4,0,0,0,965,100,0,0,0,0,0,1065,261,215,159,218,23,39,12,10,98
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Woon- en Zorgcentrum de Molenkamp,0173::SB2,7571 CW,1662,781,22,3,0,0,0,733,73,0,0,0,0,0,806,255,173,131,108,12,32,5,2,63
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Dienstencentrum de Walgaarden,0173::SB3,7571 GA,1531,640,13,1,0,0,0,602,52,0,0,0,0,0,654,166,165,108,49,12,38,1,6,95
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kantine Voetbalvereniging Quick '20,0173::SB4,7572 AS,1597,769,14,7,0,0,0,731,59,0,0,0,0,0,790,208,204,111,126,10,29,7,4,70
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Wooncentrum Mariahof,0173::SB5,7573 AB,1411,764,23,1,0,0,0,714,74,0,0,0,0,0,788,206,197,86,110,23,41,4,7,90
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Wooncentrum Scholtenhof,0173::SB6,7573 CG,1589,911,27,5,0,0,1,840,102,0,0,0,0,0,943,270,164,95,291,23,24,3,5,36
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Boerderij Stakenboer,0173::SB7,7574 AL,1537,747,20,2,0,2,0,713,54,0,2,0,0,0,767,247,179,81,90,15,30,3,16,86
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau School Breedwijs Zuid Berghuizen,0173::SB8,7574 TX,1592,783,13,0,0,0,0,727,69,0,0,0,0,0,796,243,207,123,59,17,41,3,2,88
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Paal 12 Ontmoetingscentrum,0173::SB9,7576 AC,1286,532,10,3,0,0,0,501,44,0,0,0,0,0,545,109,132,73,49,17,46,3,7,96
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Woonzorgcentrum ""De Zonnestraal""",0173::SB10,7576 AV,1394,846,19,6,0,0,2,808,61,0,0,0,0,0,871,240,205,147,94,21,40,2,5,92
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau School De Wendakker,0173::SB11,7576 VR,1685,978,6,2,0,0,0,893,93,0,0,0,0,0,986,232,240,172,148,24,42,6,8,106
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kantine Wielerclub OWC,0173::SB12,7576 PE,1602,628,6,5,0,0,0,573,66,0,0,0,0,0,639,199,132,85,109,15,22,2,3,61
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stadhuis, vergadercentrum",0173::SB13,7571 CD,1125,564,16,0,0,0,0,529,51,0,0,0,0,0,580,152,132,80,108,11,21,2,6,52
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Sportcafé De Kolk,0173::SB14,7577 EN,1488,1126,30,2,0,3,0,1069,92,0,0,3,0,0,1161,256,298,205,198,24,33,4,5,103
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kantine Voetbalvereniging De Esch,0173::SB15,7577 JA,1498,785,16,3,0,0,0,739,65,0,0,0,0,0,804,211,206,110,132,17,24,7,9,69
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Wijkgebouw Het Blikpunt,0173::SB16,7577 JA,1298,714,15,2,0,0,0,682,49,0,0,0,0,0,731,174,187,99,122,20,33,3,10,66
Vechtstromen,Oldenzaal,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau School De Bongerd,0173::SB17,7577 NR,1662,960,21,0,0,2,0,882,101,0,0,2,0,0,983,248,238,125,225,26,27,3,4,64
