contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",VVD,ChristenUnie/SGP,CDA,Werk aan Water Flevoland,50PLUS,AWP niet politiek wel deskundig,OPA
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau De Meerpaal,0303::SB1,8251 EX,1044,766,10,0,0,0,2,711,63,0,0,0,0,0,776,235,83,107,79,161,45,29,27
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Kantine Sportvereniging Reaal,0303::SB2,8253 BA,1805,1146,25,3,0,0,0,1042,132,0,0,0,0,0,1174,392,141,163,108,241,61,30,10
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Sportzaal De Beurs,0303::SB3,8253 EA,1472,861,14,1,0,0,2,778,97,1,0,1,0,0,877,308,126,112,84,145,42,27,17
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Het Perron Dronten,0303::SB4,8251 GR,2136,990,14,1,0,0,0,892,108,0,5,0,5,0,1000,313,74,137,60,218,88,69,31
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Woonzorgcentrum De Regenboog,0303::SB5,8254 AB,1726,898,12,10,0,0,0,845,75,0,0,0,0,0,920,317,54,147,109,151,79,27,14
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Ontmoetingskerk,0303::SB6,8251 LD,1865,908,5,18,0,0,0,844,87,0,0,0,0,0,931,274,49,163,78,224,69,22,29
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Samenwerkingsschool De Brandaris,0303::SB7,8251 VX,1707,805,13,3,0,0,0,752,69,0,0,0,0,0,821,283,76,118,77,126,56,51,18
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Samenwerkingsschool Het Wilgerijs,0303::SB8,8251 TJ,1569,1167,19,2,0,0,0,1092,95,0,1,0,0,0,1187,456,107,167,107,188,80,52,10
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Clubhuis Golfresidentie,0303::SB9,8251 NS,1058,731,7,2,0,0,0,666,74,0,0,0,0,0,740,204,163,50,58,153,60,25,18
Zuiderzeeland,Dronten,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Basisschool Flevosprong,0303::SB10,8252 GW,1627,1117,14,1,0,0,0,1025,107,0,0,0,0,0,1132,372,124,167,111,198,67,50,28
