contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Stadhuis,0512::SB1,4205AZ,1422,922,15,1,0,0,1,833,104,0,0,0,0,0,938,144,62,166,133,174,27,93,57,66
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau De Vijfzinnen (Nieuwe Doelen),0512::SB2,4201JD,1307,728,9,4,0,0,0,671,70,0,0,0,0,0,741,89,80,138,97,129,21,98,41,35
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Huize Steijndeld,0512::SB3,4201KW,1230,456,5,1,0,1,0,425,38,0,0,1,0,0,463,60,42,78,74,71,7,61,26,37
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Buurthuis De Aanlegsteiger,0512::SB4,4201JD,1313,734,13,2,0,0,0,684,66,0,0,1,0,0,750,78,82,118,107,148,16,97,36,52
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Schoolgebouw De Regenboog A,0512::SB5,4207ET,1085,535,12,3,0,0,0,484,66,0,0,0,0,0,550,62,44,104,55,79,26,66,62,37
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Schoolgebouw De Regenboog B,0512::SB6,4207ET,1033,542,7,1,1,0,0,493,58,0,0,1,0,0,551,47,63,128,58,87,21,42,57,39
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Oosterbliek,0512::SB7,4207NC,1408,966,16,5,0,1,0,881,107,0,0,1,0,0,988,118,93,154,120,184,60,75,78,84
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Tienercollege A,0512::SB8,4207MT,942,594,7,3,0,0,0,518,86,0,0,0,0,0,604,82,60,97,83,89,29,60,59,35
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Tienercollege B,0512::SB9,4207MT,1160,500,9,1,0,0,0,453,57,0,0,0,0,0,510,82,46,79,65,87,13,43,47,38
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Buurghuis 'West',0512::SB10,4207PG,1636,680,10,1,1,0,0,612,80,0,0,1,0,0,692,101,62,100,94,100,35,58,60,70
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorphuis De Elzenhof,0512::SB11,4213CR,1261,753,9,6,0,1,0,685,84,0,0,1,0,0,769,122,70,110,67,218,25,47,57,37
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Gemeenschapshuis,0512::SB12,4206AN,1054,471,8,2,0,0,0,440,41,0,0,0,0,0,481,32,57,86,92,45,10,43,31,75
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Lingewijkgebouw,0512::SB13,4206XN,1104,527,10,0,0,0,0,476,61,0,0,0,0,0,537,74,60,103,50,70,14,49,37,70
Rivierenland,Gorinchem,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Gebouw Leger des Heils,0512::SB14,4205BR,1159,573,3,17,0,0,0,527,66,0,0,0,0,0,593,87,40,88,62,89,28,55,62,62
