contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterschap@inwonersbelangen,ChristenUnie,"AWP niet politiek, wel deskundig",Staatkundig Gereformeerde Partij (SGP),50PLUS
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stadhuis,0353::SB1,3401 BK,1294,1007,25,11,0,0,2,945,96,0,0,0,0,0,1043,244,205,154,75,105,47,45,52,19,61
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau OBS de Tandem,0353::SB2,3402 HP,1555,969,15,2,0,0,0,901,85,0,0,0,0,0,986,235,133,108,96,122,71,53,79,8,64
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Moskee Touba,0353::SB3,3400 AA,2664,678,29,6,0,1,0,636,76,0,1,0,0,0,712,177,57,72,101,73,61,33,39,10,55
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Gebouw Kanovereniging,0353::SB4,3402 MJ,1632,656,9,4,0,0,0,604,65,0,0,0,0,0,669,141,139,105,46,36,51,37,41,7,53
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Ewoud,0353::SB5,3401 RH,1928,1036,12,2,0,0,0,928,122,0,0,0,0,0,1050,193,213,188,82,72,47,75,37,49,80
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Ontmoetingskerk,0353::SB6,3402 BG,1568,1053,19,7,0,0,1,998,80,0,0,0,0,0,1079,227,167,196,98,87,66,63,37,37,75
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Ver.Gebouw ´t Kruispunt,0353::SB7,3401 CB,2034,1277,23,7,0,2,0,1200,109,0,0,2,0,0,1309,315,189,182,132,123,86,53,67,32,98
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Dienstencentrum Oase,0353::SB8,3401 BZ,742,330,2,2,0,0,1,304,29,0,0,0,0,0,334,64,62,79,21,18,16,13,15,15,27
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Ver. gebouw De Groene Olijftak,0353::SB9,3401 GL,1938,859,21,5,0,0,0,800,85,0,0,0,0,0,885,223,145,109,76,70,52,34,62,23,65
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,"Stembureau CBS  de Brug, locatie het Polderheem",0353::SB10,3401 GX,1408,785,13,1,0,0,0,700,99,0,0,0,0,0,799,158,120,112,68,79,48,67,43,30,60
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Schoollocatie De Opstap,0353::SB11,3401 GX,1535,1192,18,4,0,0,0,1212,2,0,0,0,0,0,1214,267,219,195,120,65,83,49,68,33,93
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau WOC,0353::SB12,3401 BK,1483,799,26,7,0,0,0,751,81,0,0,0,0,0,832,202,164,102,77,58,66,21,50,5,54
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau OBS de Torenuil,0353::SB13,3404 CJ,1530,775,15,3,0,0,0,713,80,0,0,0,0,0,793,168,152,101,96,56,55,29,36,10,72
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Tramzicht,0353::SB14,3404 CP,2394,1228,21,4,0,1,0,1133,123,2,0,3,0,0,1256,279,299,123,122,115,70,53,62,10,95
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau OBS De Trekvogel,0353::SB15,3401 GX,1255,624,8,0,0,1,0,547,84,0,1,0,0,0,631,134,115,86,65,56,24,28,51,18,47
De Stichtse Rijnlanden,IJsselstein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau School De Ark van Noach,0353::SB16,3403 ZS,1707,643,12,4,0,0,2,591,66,0,0,0,0,0,659,139,130,92,61,65,38,36,33,5,44
