contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,ChristenUnie,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),Lokaal Waterbeheer,AWP niet politiek wel deskundig,50PLUS,Verenigde Senioren Partij
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Gemeentehuis,0327::SB1,3831 NA,2206,1948,41,12,0,0,2,1935,64,0,0,0,0,0,2001,286,180,183,380,288,43,99,303,159,27
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Basisschool De Holm,0327::SB2,3831 LE,1892,1278,13,8,0,0,0,1161,138,0,0,0,0,0,1299,197,179,137,221,139,28,63,228,83,3
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau MFC Atria,0327::SB3,3831 JT,2366,1650,20,3,0,0,0,1495,178,0,0,0,0,0,1673,238,178,130,271,249,41,99,322,118,4
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Woonzorgcentrum 't Hamersveld,0327::SB4,3831 JR,1821,1393,31,3,0,0,1,1285,141,0,0,0,0,0,1427,258,187,119,239,180,31,71,220,85,3
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Scholen in de Kunst,0327::SB5,3831 XD,2396,1232,11,9,0,0,1,1120,131,0,0,0,0,0,1252,222,179,104,174,143,29,58,210,107,6
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Lisidunahof,0327::SB6,3833 BS,1509,873,4,2,0,0,0,788,91,0,0,0,0,0,879,132,128,104,156,108,22,34,126,55,8
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Clubgebouw van Roda '46,0327::SB7,3833 BM,2082,709,12,3,0,0,0,665,59,0,0,0,0,0,724,128,85,64,105,107,9,36,133,39,3
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau De Groene Belevenis,0327::SB8,3833 GM,1974,1208,19,5,0,0,0,1118,114,0,0,0,0,0,1232,192,141,124,196,131,42,75,243,59,5
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau MFC Antares,0327::SB9,3832 JS,2783,1896,23,12,0,0,0,1743,188,0,0,0,0,0,1931,440,239,197,321,181,79,77,241,108,13
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Woonzorgcentrum Sint Joseph,0327::SB10,3791 PP,2074,1365,10,3,0,0,1,1212,165,0,0,0,0,0,1378,273,435,64,165,88,75,66,125,64,10
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Fokkerstraat,0327::SB11,3833 LD,1708,781,11,2,0,0,0,703,91,0,0,0,0,0,794,154,124,68,117,76,28,51,115,44,4
Vallei en Veluwe,Leusden,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Dorpskerk,0327::SB12,3832 GJ,1024,544,8,1,0,0,0,495,58,0,0,0,0,0,553,83,72,67,102,44,49,14,76,37,0
