contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Stadskantoor,0796::SB1,5211hh,1373,961,51,7,0,0,0,935,84,0,0,0,0,0,1019,94,348,211,174,61,51,22
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Babel,0796::SB2,5211mr,1043,952,35,4,0,1,0,991,1,0,0,1,0,0,992,62,400,181,189,62,43,15
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Van Neynsel Antoniegaarde,0796::SB3,5211sj,1513,666,15,0,3,0,0,636,48,0,0,3,0,0,684,61,242,122,108,46,64,23
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Theater aan de Parade,0796::SB4,5211kl,1090,441,20,3,0,0,0,415,49,0,0,0,0,0,464,64,145,133,54,26,14,5
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau BS Het Bossche Broek (centrum),0796::SB5,5211GX,1640,771,11,4,0,0,0,710,76,0,0,0,0,0,786,77,286,172,142,51,27,16
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Stadsklooster San Damiano,0796::SB6,5211ca,1073,604,27,0,0,0,1,571,60,1,0,1,0,0,632,63,262,135,81,30,25,8
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Verkadefabriek,0796::SB7,5211vd,1536,585,19,3,0,0,0,586,21,0,0,0,0,0,607,37,275,71,100,34,46,22
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Woon- en Zorgcentrum Nieuwehagen,0796::SB8,5211pd,1243,433,12,3,0,0,0,418,30,0,0,0,0,0,448,57,135,53,77,22,73,16
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Stadsarchief,0796::SB9,5211xk,1530,809,29,1,0,0,0,785,54,0,0,0,0,0,839,61,290,181,136,53,67,21
Aa en Maas,'s-Hertogenbosch,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Scouting Lucas,0796::SB10,5216jj,1366,535,13,2,0,0,0,506,46,2,0,2,0,0,552,63,216,68,87,33,50,18
