contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gemeentehuis,0226::SB1,6921ES,2349,1051,20,10,0,1,0,972,108,0,1,0,0,0,1080,188,226,191,192,13,48,89,104
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Woonzorgcentrum Thuvine,0226::SB2,6921AR,2004,829,14,2,0,1,0,777,69,0,0,1,0,0,846,166,171,126,127,29,34,88,88
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Kantoorgebouw La Gare nabij NS station Duiven,0226::SB3,6922HH,1244,728,15,4,0,0,0,689,58,0,0,0,0,0,747,116,159,93,170,11,35,81,63
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis Groessen,0226::SB4,6923BD,1661,936,5,1,0,0,0,860,82,0,0,0,0,0,942,279,145,163,89,14,21,41,184
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Kantine Sportvereniging Loo,0226::SB5,6924AE,867,506,6,0,0,0,4,471,37,0,0,0,0,0,512,106,87,102,65,14,13,44,75
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Cultuurcentrum de Ogtent,0226::SB6,6921BL,1582,418,10,3,0,0,0,392,39,0,0,0,0,0,431,40,112,65,84,6,18,53,40
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Kantine Tennis Centre Duiven,0226::SB7,6921JL,1967,826,8,4,0,1,0,764,73,0,1,0,0,0,837,131,180,201,143,22,42,50,57
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Seniorensoos Het Palet,0226::SB8,6921MJ,1688,1015,15,4,0,1,1,953,78,1,2,0,0,0,1032,167,251,143,169,27,35,140,83
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Voormalige psz De Zandbak,0226::SB9,6921MJ,1483,462,4,1,0,0,0,433,34,0,0,0,0,0,467,73,106,72,112,9,16,36,38
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Voormalige basisschool De Timp,0226::SB10,6922DB,1688,821,14,4,0,1,0,771,69,0,0,1,0,0,840,113,180,170,134,28,53,70,73
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stichting Senior Club,0226::SB11,6922ER,1723,900,13,6,0,0,0,900,19,0,0,0,0,0,919,163,196,169,135,21,52,98,66
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Basisschool de Toermalijn,0226::SB12,6922NP,1351,820,4,5,0,0,0,761,68,0,0,0,0,0,829,114,191,152,134,17,45,101,66
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Sportcentrum Triominos,0226::SB13,6922JB,861,362,1,1,0,0,0,338,26,0,0,0,0,0,364,47,79,64,66,9,15,33,49
Rijn en IJssel,Duiven,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gemeentehuis (2),0226::SB14,6921ES,0,993,11,2,0,0,0,906,99,0,1,0,1,0,1005,202,199,174,180,25,47,87,79
