contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Oostdam,1924::SB1,,1835,1161,8,2,0,0,0,1025,146,0,0,0,0,0,1171,218,134,157,56,62,224,160,26,19,105
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Dorpstienden,1924::SB2,,1476,1298,6,1,0,0,9,1118,178,0,0,0,0,0,1305,223,142,134,63,37,434,109,18,30,108
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Eben Haëzer,1924::SB3,,1884,1137,5,3,0,0,0,992,153,0,0,0,0,0,1145,137,112,73,59,25,531,117,21,9,53
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Vliedberg,1924::SB4,,1416,821,5,3,0,0,0,728,101,0,0,0,0,0,829,138,76,59,39,20,283,103,18,8,77
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Rank,1924::SB5,,1521,829,6,2,0,0,0,744,93,0,0,0,0,0,837,171,136,73,67,45,145,55,40,17,80
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 't Haegse Huus,1924::SB6,,1322,812,7,2,0,0,2,751,68,0,0,0,0,0,821,188,139,45,83,18,169,67,33,14,56
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Schakel,1924::SB7,,2113,1368,10,3,0,0,0,1201,180,0,0,0,0,0,1381,336,106,141,69,23,372,161,54,41,65
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Geldershof,1924::SB9,,2303,1310,6,6,0,0,0,1130,192,0,0,0,0,0,1322,335,121,127,83,25,342,157,37,32,51
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Ons Huis,1924::SB10,,1002,636,2,3,0,0,0,584,57,0,0,0,0,0,641,241,35,79,26,26,131,39,22,9,28
Hollandse Delta,Goeree-Overflakkee,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Melishof,1924::SB11,,1710,980,5,6,0,0,0,892,99,0,0,0,0,0,991,295,77,118,56,41,171,53,66,23,80
