contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Stadhuis,0505::SB1,3311 CR,2119,1160,35,2,7,0,0,1100,90,0,7,0,0,0,1190,272,70,167,193,189,23,46,75,64,61
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Stadskantoor,0505::SB2,3311 GR,2168,1208,8,27,0,4,5,1099,143,0,0,4,0,0,1247,244,78,161,194,189,43,73,84,78,64
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 't Zeepaert,0505::SB3,3311 BT,840,430,11,2,0,0,3,402,38,0,0,0,0,0,443,71,21,74,57,92,10,27,14,34,30
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Centrum Stapal,0505::SB4,3311 TV,1440,726,9,4,0,0,0,672,67,0,0,0,0,0,739,180,48,81,113,100,6,33,80,39,46
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Dordrechts Museum,0505::SB5,3311 XP,1516,742,7,2,0,1,0,680,70,0,1,0,0,0,750,193,44,63,115,148,8,28,56,40,47
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,"Stembureau 't Klockhuys, bij toren Grote Kerk",0505::SB6,3311 CJ,725,365,7,0,0,0,2,329,40,0,1,0,1,0,371,74,26,65,40,55,23,37,13,17,15
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School Vest,0505::SB7,3311 LG,1656,794,14,2,0,0,0,712,98,0,0,0,0,0,810,175,58,70,115,179,27,47,43,37,43
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Hogeschool InHolland,0505::SB8,3311 KB,1641,333,9,0,0,0,0,312,30,0,0,0,0,0,342,71,21,49,48,58,5,19,29,15,18
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Energiehuis,0505::SB9,3311 RR,1828,730,24,5,0,0,0,666,93,0,0,0,0,0,759,230,40,74,102,127,9,32,27,54,35
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,"Stembureau Centraal Station, Portacabin op bordes",0505::SB10,3311 JV,2588,1054,25,8,0,0,1,1007,78,0,1,0,1,0,1086,213,47,121,163,220,50,69,42,70,59
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School Noordhove,0505::SB14,3312 EP,1218,532,6,0,0,2,0,493,47,0,0,2,0,0,540,143,32,30,75,109,16,39,23,33,32
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Gebouw De Driesprong,0505::SB15,3312 GD,1911,914,12,5,0,9,1,824,97,0,9,0,0,0,922,223,51,93,128,191,19,58,50,53,48
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Zorgcentrum De Linde,0505::SB17,3312 GT,2011,1045,28,5,0,0,0,975,103,0,0,0,0,0,1078,222,73,118,106,213,46,91,88,41,47
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Kerkgebouw Pinkstergemeente,0505::SB19,3312 AM,987,444,6,1,0,0,0,398,53,0,0,0,0,0,451,107,37,84,50,43,28,36,23,14,22
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Dordtse Vrije School,0505::SB20,3312 NB,1374,641,10,4,0,1,0,601,55,0,0,1,0,0,656,123,20,27,73,159,34,69,56,47,33
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School De Repelaer,0505::SB22,3312 LN,1429,735,18,4,0,4,0,687,66,0,4,0,0,0,753,165,76,37,81,115,67,69,48,35,42
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Sportcomplex Sport+,0505::SB23,3312 KJ,439,191,1,8,0,0,1,177,22,0,0,0,0,0,200,32,13,25,25,28,21,21,9,11,6
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wantijschool,0505::SB26,3313 GL,1273,551,10,2,0,1,0,517,45,0,1,0,0,0,562,136,37,53,62,67,28,38,67,26,37
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School De Regenboog,0505::SB27,3313 BN,1080,465,9,2,0,0,0,437,39,0,0,0,0,0,476,134,37,27,76,41,14,22,59,25,30
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Zorgcentrum Merwelanden,0505::SB29,3313 EM,1120,512,12,7,0,0,0,490,41,0,0,0,0,0,531,126,52,34,73,43,4,22,103,19,36
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Prinses Julianaschool,0505::SB33,3314 KT,1192,552,15,7,0,0,0,488,86,0,0,0,0,0,574,198,38,30,81,35,19,43,48,20,40
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Prinsemarij,0505::SB34,3314 JR,2497,1089,26,5,0,0,0,990,130,0,0,0,0,0,1120,349,76,58,135,124,97,64,95,32,59
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Gebouw Dorswedo,0505::SB36,3314 GR,1812,780,29,1,1,0,0,811,0,0,0,1,0,0,811,202,43,61,71,91,61,67,92,46,46
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Prins Bernhardschool,0505::SB37,3314 WZ,1400,613,14,6,0,0,0,564,69,0,0,0,0,0,633,140,44,38,52,67,28,61,94,34,55
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Het Weizigt NMC,0505::SB38,3314 BH,1290,594,10,1,0,0,0,543,61,0,1,0,1,0,604,139,37,47,68,101,37,60,42,31,32
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau School De Fontein,0505::SB42,3314 TN,1989,733,23,5,0,1,0,672,88,0,1,0,0,0,760,296,23,33,98,58,22,42,75,40,46
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Het Waterwiel,0505::SB50,3317 NJ,1326,514,15,2,0,0,0,486,45,0,0,0,0,0,531,144,28,41,82,63,23,23,63,21,26
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Speeltuin Zeehavenkwartier,0505::SB51,3317 ZV,332,131,10,2,0,0,0,115,28,0,0,0,0,0,143,53,3,6,7,11,4,1,36,1,9
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkcentrum De Admiraal,0505::SB52,3317 BC,1278,523,18,5,0,0,0,473,73,0,0,0,0,0,546,171,30,61,79,39,15,21,48,29,30
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wooncentrum Watersteijn,0505::SB54,3317 NV,1033,511,6,4,0,0,0,464,57,0,0,0,0,0,521,112,35,102,57,42,40,20,46,27,30
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Postillion Hotel,0505::SB55,3316 EH,646,305,8,0,0,0,1,281,31,0,0,0,0,0,313,43,24,52,35,37,36,21,26,21,10
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wooncentrum De Klockelaer,0505::SB60,3317 JR,1157,478,13,8,0,0,0,466,33,0,0,0,0,0,499,137,24,40,78,27,10,30,78,24,30
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau J.F. Kennedyschool,0505::SB61,3317 KM,1204,503,12,4,0,0,0,476,43,0,0,0,0,0,519,128,33,36,85,59,21,35,62,19,25
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Trefpunt de Nieuwe Stoof,0505::SB65,3317 LA,1590,653,21,10,0,0,0,625,59,0,0,0,0,0,684,207,39,41,94,56,25,34,92,33,32
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Zorgcentrum Vreedonk,0505::SB66,3317 HS,1109,504,11,1,0,1,0,474,43,0,0,1,0,0,517,90,55,34,41,53,92,60,32,31,16
Hollandse Delta,Dordrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Bewonersvereniging 't Trefpunt,0505::SB70,3318 JJ,1387,613,9,4,0,0,0,570,56,0,0,0,0,0,626,152,76,67,86,49,37,31,63,23,29
