contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,AWP niet politiek wel deskundig,50PLUS,ChristenUnie
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemeentehuis,0037::SB1,9501 SZ,1264,1036,18,3,0,0,0,954,103,0,0,0,0,0,1057,195,267,86,154,123,105,106
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Drouwenerhof,0037::SB2,9503 AV,1386,728,6,4,0,0,0,685,53,0,0,0,0,0,738,160,133,60,101,105,65,104
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Rank Oosterkade 5,0037::SB3,9503 HN,1400,551,5,2,0,0,0,491,67,0,0,0,0,0,558,121,86,26,74,71,69,104
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,"Stembureau ""Oude Brandweerkazerne""",0037::SB4,9502 ET,1124,505,6,1,0,0,0,470,42,0,0,0,0,0,512,100,114,35,43,80,51,82
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Maarsheerd,0037::SB5,9501 AM,1247,824,21,2,0,0,0,785,62,0,0,0,0,0,847,140,153,57,143,114,72,145
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Lichtbron,0037::SB6,9501 VJ,1473,616,6,1,0,0,0,583,40,0,0,0,0,0,623,103,111,44,85,71,44,158
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Buurtcentrum Maarsstee,0037::SB7,9501 CA,1866,591,11,3,0,0,0,603,2,0,0,0,0,0,605,140,148,14,47,90,72,80
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Meester Neuteboomschool,0037::SB8,9502 CR,1357,902,10,5,0,4,0,850,63,0,4,0,0,0,913,191,231,43,90,140,58,149
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,"Stembureau Pagedal, Hoveniersweg 1",0037::SB9,9502 BW,1332,557,6,1,0,0,0,507,57,0,0,0,0,0,564,104,108,52,66,96,41,90
Hunze en Aa's,Stadskanaal,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau OBS De Oleander,0037::SB10,9501 VX,1401,897,11,6,0,0,0,837,77,0,0,0,0,0,914,201,150,76,109,177,70,114
