_id,Gemeente,CBS gemeentecode,Stembureau of Afgiftepunt,Nummer stembureau of afgiftepunt,Naam stembureau of afgiftepunt,Gebruikersdoel het gebouw,Website locatie,Wijknaam,CBS wijknummer,Buurtnaam,CBS buurtnummer,BAG referentienummer,Straatnaam,Huisnummer,Huisletter,Huisnummertoevoeging,Postcode,Plaats,Extra adresaanduiding,X,Y,Longitude,Latitude,Openingstijden 10-03-2021,Openingstijden 11-03-2021,Openingstijden 12-03-2021,Openingstijden 13-03-2021,Openingstijden 14-03-2021,Openingstijden 15-03-2021,Openingstijden 16-03-2021,Openingstijden 17-03-2021,Mindervaliden toegankelijk,Akoestiek,Auditieve hulpmiddelen,Visuele hulpmiddelen,Mindervalide toilet aanwezig,Kieskring ID,Hoofdstembureau,Tellocatie,Contactgegevens,Beschikbaarheid,Verkiezingen,ID,UUID
54050,Utrecht,GM0344,Stembureau,1.0,Stadhuis,"bijeenkomstfunctie, kantoorfunctie",,,,,,344200000078350,Stadhuisbrug,1.0,,,3511KP,Utrecht,,136673.883353532,455987.078793061,5.1197905,52.0918373,,,,,,2021-03-15T07:30:00 tot 2021-03-15T21:00:00,2021-03-16T07:30:00 tot 2021-03-16T21:00:00,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",Y,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,8bf98eef20fe40968eb01b5bed94aa2b
54051,Utrecht,GM0344,Afgiftepunt,,Stadhuis,"bijeenkomstfunctie, kantoorfunctie",,,,,,344200000078350,Stadhuisbrug,1.0,,,3511KP,Utrecht,,136470.935779741,455987.830148516,5.1168291,52.0918373,2021-03-10T09:00:00 tot 2021-03-10T17:00:00,2021-03-11T09:00:00 tot 2021-03-11T17:00:00,2021-03-12T09:00:00 tot 2021-03-12T17:00:00,,,2021-03-15T09:00:00 tot 2021-03-15T17:00:00,2021-03-16T09:00:00 tot 2021-03-16T17:00:00,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",Y,8,Utrecht,N,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,51a78fab2b8c4b88be630bcea561bbef
54052,Utrecht,GM0344,Stembureau,503.0,Gymzaal M. van Meel,,,,,,,0,,,,,,,Gymzaal van Basisschool,133963.024763274,458457.182373505,5.080082,52.113942,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",Y,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,5b092e7721d3437590d83cca62e43bbb
54053,Utrecht,GM0344,Stembureau,504.0,Gymzaal Sint-Willibrordusstraat,"onderwijsfunctie, sportfunctie",,,,,,344200000030409,St.-Willibrordusstraat,45.0,,,3553SL,Utrecht,,134450.547094898,457978.058048019,5.0872282,52.109654,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",N,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,4f65cd4c935b4c67916172bf69b6b355
54054,Utrecht,GM0344,Stembureau,505.0,Gymzaal Prinses Margrietstraat,"onderwijsfunctie, sportfunctie",,,,,,344200000042750,Prinses Margrietstraat,10.0,,,3554GE,Utrecht,,134774.71190992,458138.246705392,5.0919507,52.1111057,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",N,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,8153bfc95cfc4c18a05b00b3aca18268
54055,Utrecht,GM0344,Stembureau,506.0,Gymzaal Stauntonstraat,onderwijsfunctie,,,,,,344200000031772,Stauntonstraat,9.0,,,3554EZ,Utrecht,,134845.343451033,458268.09058473,5.0929741,52.1122753,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",N,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,63cd09d664b64ee5a25f0c402d9829fc
54056,Utrecht,GM0344,Stembureau,507.0,Sporthal De Dreef,"industriefunctie, sportfunctie",,,,,,344200000113645,Schooneggendreef,27.0,,,3562GG,Utrecht,,136604.284845073,459248.87981621,5.1185989,52.1211518,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",Y,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,25bd33636f24428197837bfa1c618321
54057,Utrecht,GM0344,Stembureau,16.0,KBS De Catharijnepoort,onderwijsfunctie,,,,,,344200000085364,Staringstraat,1.0,,,3532VM,Utrecht,ingang Busken Huetstraat,135223.417888329,456280.294260654,5.0986087,52.0944228,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,N,,Aanwijskaart,"Leesloep, lamp",,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,3a0468f7834941939ce18f90e7560eeb
54058,Utrecht,GM0344,Stembureau,20.0,OBS De Catharijnepoort,onderwijsfunctie,,,,,,344200000038795,Vleutenseweg,515.0,,,3532HK,Utrecht,ingang Broerestraat,134436.33196636,456348.326789054,5.087119,52.0950056,,,,,,2021-03-15T07:30:00 tot 2021-03-15T21:00:00,2021-03-16T07:30:00 tot 2021-03-16T21:00:00,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Aanwijskaart,"Leesloep, lamp",N,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,aa2106bc6aa24695b68c8e167ef4a016
54059,Utrecht,GM0344,Stembureau,22.0,Gymzaal OBS Oog in Al,"onderwijsfunctie, sportfunctie",,,,,,344200000175831,Johan Wagenaarkade,45.0,A,,3533TE,Utrecht,,133963.360745577,455491.439518423,5.0802699,52.0872862,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,N,,Aanwijskaart,"Leesloep, lamp",,8,Utrecht,Y,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,,NLODSGM0344stembureaus20210317008,d0998d3464d84de1beded6d61e57f5c6
