_id,Gemeente,CBS gemeentecode,Stembureau of Afgiftepunt,Nummer stembureau of afgiftepunt,Naam stembureau of afgiftepunt,Gebruikersdoel het gebouw,Website locatie,Wijknaam,CBS wijknummer,Buurtnaam,CBS buurtnummer,BAG referentienummer,Straatnaam,Huisnummer,Huisletter,Huisnummertoevoeging,Postcode,Plaats,Extra adresaanduiding,X,Y,Longitude,Latitude,Openingstijden 10-03-2021,Openingstijden 11-03-2021,Openingstijden 12-03-2021,Openingstijden 13-03-2021,Openingstijden 14-03-2021,Openingstijden 15-03-2021,Openingstijden 16-03-2021,Openingstijden 17-03-2021,Mindervaliden toegankelijk,Akoestiek,Auditieve hulpmiddelen,Visuele hulpmiddelen,Mindervalide toilet aanwezig,Kieskring ID,Hoofdstembureau,Tellocatie,Contactgegevens,Beschikbaarheid,Verkiezingen,ID,UUID
45654,Delft,GM0503,Stembureau,3,Hoogheemraadschap Delfland,"bijeenkomstfunctie, kantoorfunctie",,,,,,503200000039159,Phoenixstraat,32,,,2611AL,Delft,,84097.3385591275,447524.706004289,4.35443,52.01155,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,65059de9f2684ed498780b4fed2e68d5
45655,Delft,GM0503,Stembureau,4,Locatie Crommelinplein 1,kantoorfunctie,,,,,,503200000097775,Crommelinplein,1,,,2627BM,Delft,,84433.5975650288,446704.761664346,4.35949617944263,52.0042240570969,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,1e645823d5c648aea1fa61f93c6a0fb2
45656,Delft,GM0503,Stembureau,5,Wijkcentrum De Parel,bijeenkomstfunctie,,,,,,503200000121327,Van Beresteynstraat,99,,,2614HE,Delft,,82988.2865781566,447656.181665681,4.33825038635953,52.0125887283334,,,,,,2021-03-15T07:30:00 tot 2021-03-15T21:00:00,2021-03-16T07:30:00 tot 2021-03-16T21:00:00,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,f2bf52e447884c0388269faed5dec849
45657,Delft,GM0503,Stembureau,6,Het Westlandhof,woonfunctie,,,,,,503200000095732,Antonia Veerstraat,49,,,2614HX,Delft,,83455.2615693286,446426.190670868,4.34530842332585,52.0015952942107,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,1f7a35ada1044216918150e820ad9c74
45658,Delft,GM0503,Stembureau,7,Gabrielschool,onderwijsfunctie,,,,,,503200000022139,Michiel ten Hovestraat,9,,,2613VX,Delft,,83458.4858111636,447074.274695576,4.34522,52.00742,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,7fb51105ffbc4469a1f81d471911fa0b
45659,Delft,GM0503,Stembureau,8,Wijkcentrum Delft-Noord,bijeenkomstfunctie,,,,,,503200000033381,Brasserskade,77,,,2612CB,Delft,,84068.4675781736,448916.109652672,4.35372117730279,52.0240507692273,,,,,,2021-03-15T07:30:00 tot 2021-03-15T21:00:00,2021-03-16T07:30:00 tot 2021-03-16T21:00:00,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,98d3b71e63c54484ade1a4a9bc63cac1
45660,Delft,GM0503,Stembureau,10,Buurthuis Onder de Schie,bijeenkomstfunctie,,,,,,503200000031970,Rotterdamseweg,51,,,2628AJ,Delft,,84799.0827688934,446783.203800398,4.36480210100033,52.0049753679996,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,736b9a03dbab4875a146ed8725b99456
45661,Delft,GM0503,Stembureau,12,Prins Mauritsschool,onderwijsfunctie,,,,,,503200000031846,Nassaulaan,54,,,2628GJ,Delft,,85673.9775593912,447021.836656286,4.37749379558587,52.0072299471356,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,0f05182e215046beb562c1bd353ce7df
45662,Delft,GM0503,Stembureau,13,Vrijetijdscentrum De Wipmolen,bijeenkomstfunctie,,,,,,503200000135153,Prof. Krausstraat,71,B,,2628JR,Delft,,85828.5555057116,446699.457101161,4.37980994732265,52.0043520076533,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,44ca8a1a0a7f4d3f9daeec6fefac8667
45663,Delft,GM0503,Stembureau,14,Wijkwerk Wippolder,bijeenkomstfunctie,,,,,,503200000111383,Prof. Krausstraat,50,,,2628JN,Delft,,85699.8935456503,446856.166369401,4.37790472075984,52.0057443039586,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,14,Dordrecht,,https://www.delft.nl/contact,https://www.delft.nl/bestuur-en-organisatie/verkiezingen/stembureaus-delft,,NLODSGM0503stembureaus20210317008,ae5e002a1f2c41cf93204fad3a0a39a2
