contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Ridderkerk,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66)/GROENLINKS,CDA,ChristenUnie,Partij 18PLUS,EVR (Echt Voor Ridderkerk)
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Gemeentehuis,0597::SB1,,1113,871,8,5,0,0,0,771,113,0,0,0,0,0,0,884,167,134,95,73,81,89,64,54,114
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau St. Jorisparochie,0597::SB2,,1055,400,6,0,0,0,0,367,39,0,0,0,0,0,0,406,97,61,33,19,36,36,32,34,52
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Rehobothschool,0597::SB3,,1105,548,1,2,0,0,0,458,93,0,0,0,0,0,0,551,57,181,39,26,26,47,81,37,54
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Wijkcentrum West,0597::SB4,,1176,743,5,4,0,0,0,669,83,0,0,0,0,0,0,752,94,202,75,34,42,99,62,15,120
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Dependance Farelcollege,0597::SB5,,1223,626,0,5,0,0,0,566,65,0,0,0,0,0,0,631,97,108,60,22,53,82,48,42,114
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Kerk de Levensbron,0597::SB6,,1213,790,2,0,0,1,0,700,93,0,0,0,1,0,0,793,168,171,49,60,54,102,75,25,86
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Obs de Noord,0597::SB7,,1458,739,1,3,0,0,0,658,85,0,0,0,0,0,0,743,199,94,89,34,79,62,44,49,89
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Cbs de Wingerd,0597::SB8,,1684,1098,2,4,0,0,0,980,124,0,0,0,0,0,0,1104,245,192,88,77,57,111,122,50,156
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Wilhelminakerk,0597::SB9,,1724,599,2,0,0,0,0,547,54,0,0,0,0,0,0,601,117,102,40,45,60,68,40,61,66
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Cbs de Driemaster,0597::SB10,,1011,551,2,3,0,0,0,493,63,0,0,0,0,0,0,556,111,101,44,33,51,47,89,26,49
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Muziekver. Harmonie Slikkerveer,0597::SB11,,1209,747,1,3,0,0,0,687,64,0,0,0,0,0,0,751,173,96,60,56,88,77,66,40,91
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Irenekerk,0597::SB12,,1404,968,2,1,0,0,0,852,119,0,0,0,0,0,0,971,226,161,56,90,69,88,97,79,102
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Boezemkerk,0597::SB13,,1435,330,4,0,0,0,0,300,34,0,0,0,0,0,0,334,82,45,21,20,28,30,36,26,42
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau WVC Bolnes,0597::SB14,,1855,1024,2,2,0,0,0,938,90,0,0,0,0,0,0,1028,259,67,131,81,105,102,65,51,163
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Sporthal Beverbol,0597::SB15,,1538,858,4,4,0,1,0,780,87,0,0,0,1,0,0,867,240,63,131,44,80,55,37,51,157
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Kerk Bolnes,0597::SB16,,1514,773,2,5,0,0,0,711,69,0,0,0,0,0,0,780,190,57,81,88,87,69,51,50,100
