contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Opsterlands Belang,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,OpsterLanders,Democraten 66 (D66),FNP,"Betrokken, Anders en Samen"
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Beetsterzwaag, Gemeentehuis",0086::SB1,9244 CR,1583,917,1,4,0,0,0,836,86,0,0,0,0,0,0,922,150,206,101,52,121,81,125,45,36
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Beetsterzwaag, Dorpshuis",0086::SB2,9244 CH,1396,1017,6,1,0,0,0,936,89,0,1,0,1,0,0,1025,165,228,129,52,106,89,128,40,80
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Bakkeveen, It Ankerplak",0086::SB3,9243 KN,1468,959,2,1,0,0,0,866,96,0,0,0,0,0,0,962,416,86,130,51,87,69,61,32,27
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Frieschepalen, De Dobber",0086::SB4,9249 MC,728,481,0,2,0,0,0,439,44,0,0,0,0,0,0,483,74,49,92,196,13,18,8,6,25
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Gorredijk, De Miente",0086::SB5,8401 AC,1430,722,3,1,0,0,0,675,51,0,0,0,0,0,0,726,170,154,80,17,102,40,71,38,50
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Gorredijk, De Skâns",0086::SB6,8401 DV,1712,968,3,6,0,0,0,918,59,0,0,0,0,0,0,977,281,132,124,34,91,66,105,63,72
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Gorredijk, R.K.-kerk",0086::SB7,8401 RV,1249,523,0,0,0,0,0,488,35,0,0,0,0,0,0,523,182,87,53,20,42,28,36,32,43
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Hemrik, Dorpshuis",0086::SB8,8409 JW,569,374,0,0,0,0,0,333,41,0,0,0,0,0,0,374,115,41,52,14,38,45,24,29,16
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Langezwaag, Dorpshuis",0086::SB9,8404 BV,1174,647,2,0,0,0,0,587,62,0,0,0,0,0,0,649,270,100,29,13,102,33,52,25,23
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Lippenhuizen, Dorpshuis",0086::SB10,8408 HH,1044,656,1,1,0,0,0,597,61,0,0,0,0,0,0,658,129,132,58,22,127,40,60,43,45
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Nij Beets, Dorpshuis",0086::SB11,9245 HP,1275,838,1,1,0,0,0,741,99,0,0,0,0,0,0,840,331,64,157,97,43,48,37,44,17
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Siegerswoude, Dorpshuis",0086::SB12,9248 KS,625,384,0,0,0,0,0,348,36,0,0,0,0,0,0,384,83,26,86,94,30,30,16,7,12
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Terwispel, Dorpshuis",0086::SB13,8407 ES,777,417,2,2,0,0,0,395,26,0,0,0,0,0,0,421,104,96,40,6,38,52,49,17,15
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Tijnje, Dorpshuis",0086::SB14,8406 ES,1362,740,2,2,0,0,0,673,71,0,0,0,0,0,0,744,306,80,103,27,75,43,49,27,30
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Ureterp, Geref. kerk Mounestrjitte",0086::SB15,9247 AM,1915,1229,1,2,0,0,0,1109,123,0,0,0,0,0,0,1232,212,111,228,440,46,18,45,55,74
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Ureterp, De Lijte",0086::SB16,9247 ES,1818,1158,6,5,0,0,0,1060,111,0,0,0,2,0,0,1171,250,129,191,314,58,37,56,47,76
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Wijnjewoude, MFC de Swingel",0086::SB17,9241 GL,1574,792,3,7,0,0,0,734,68,0,0,0,0,0,0,802,194,86,215,102,59,36,61,21,18
,Opsterland,GR2014_Opsterland,Gemeenteraad Opsterland 2014,0086,Opsterland,2014-03-19,"Stembureau Gorredijk, Ontmoetingskerk",0086::SB18,8401 BP,1472,900,1,2,0,0,0,832,71,0,0,0,0,0,0,903,225,133,139,19,94,58,107,29,96
