contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),VVD,OpKoers.nu,GROENLINKS,Liberaal Hardenberg,Democraten 66 (D66)
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Voormalig gemeentehuis Gramsbergen,0160::SB14,,1653,990,0,2,0,0,0,902,90,0,0,0,0,0,0,992,375,152,121,108,133,19,9,73
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Zorgcentrum 't Welgelegen,0160::SB15,,1154,725,0,1,0,0,0,667,59,0,0,0,0,0,0,726,282,71,120,95,83,15,8,51
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Dorpshuis De Krim,0160::SB16,,1531,750,2,6,0,0,0,690,69,0,0,0,1,0,0,759,153,211,100,67,121,22,31,45
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Oude basisschool  Ane,0160::SB17,,632,391,0,1,0,0,0,365,27,0,0,0,0,0,0,392,201,56,15,44,43,9,4,19
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau 't Haarschut  Kloosterhaar,0160::SB18,,1169,548,1,2,0,0,0,484,67,0,0,0,0,0,0,551,65,37,74,30,294,9,14,25
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau 't Uilenest,0160::SB19,,1105,651,4,5,0,0,0,601,59,0,0,0,0,0,0,660,195,169,99,29,68,22,35,34
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Ver.gebouw  de Esch,0160::SB20,,1351,914,0,0,0,0,0,831,84,0,0,0,1,0,0,915,231,358,64,58,85,28,31,59
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Zorgcentrum Clara Feyoena Heem,0160::SB21,,1572,1033,1,2,0,0,0,908,127,0,0,1,0,0,0,1035,197,482,88,53,87,31,37,58
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,"Stembureau Brede School ""De Matrix",0160::SB22,,1401,864,1,4,0,3,0,789,83,0,0,0,3,0,0,872,222,235,92,121,63,17,36,78
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,"Stembureau Dorpshuis ""De Heugte""  Radewijk",0160::SB23,,497,341,3,1,0,0,0,311,34,0,0,0,0,0,0,345,128,42,48,30,60,15,3,15
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau De Horst  Sibculo,0160::SB24,,1103,506,0,1,0,0,0,471,36,0,0,0,0,0,0,507,209,63,30,37,125,14,16,12
