contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,V.O.C. Hoorn,Partij van de Arbeid (P.v.d.A.),Fractie Tonnaer,CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Hoornse Senioren Partij (HSP),Hoorns Belang,Hoorn+,HOP,Hoorn Lokaal
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Het Statenlogement, Nieuwstraat 23",0405::SB11,,1706,1104,7,4,0,0,0,1017,98,0,0,0,0,0,0,1115,151,103,157,26,59,151,149,120,41,43,4,78,22
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare basisschool Montessori Binnenstad, Gravenstraat 19",0405::SB12,,1882,1060,2,2,0,0,0,959,105,0,0,0,0,0,0,1064,139,77,170,28,55,164,127,106,41,40,9,79,25
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Centrum ouderenzorg Westerhaven, Achterom 1",0405::SB13,,1618,983,6,1,0,0,0,918,72,0,0,0,0,0,0,990,137,90,128,27,65,130,107,97,51,45,5,82,19
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau SG. O.S.G. West-Friesland, Bontekoestraat 4",0405::SB14,,1725,961,2,4,2,0,0,903,66,0,0,0,2,0,0,969,106,66,135,43,50,92,145,104,50,48,11,84,27
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare basisschool Jules Verne, Orionstraat 135",0405::SB21,,1743,661,2,6,0,0,0,590,79,0,0,0,0,0,0,669,28,39,139,100,41,45,35,75,56,31,4,50,18
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Wijkcentrum Grote Waal, Grote Beer 3",0405::SB22,,1189,685,0,1,0,0,0,633,53,0,0,0,0,0,0,686,45,50,104,29,61,46,71,101,57,47,2,44,28
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Tennisvereniging ""De Hulk"", Dwaalpark 1",0405::SB23,,1602,661,4,5,0,0,0,621,49,0,0,0,0,0,0,670,31,56,106,33,23,78,63,109,27,48,6,54,27
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare basisschool De Zonnewijzer, Het Gangwerk 58",0405::SB24,,1480,738,2,4,0,0,0,692,53,0,0,0,1,0,1,745,36,48,119,28,28,125,76,123,38,48,6,53,10
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Verpleeghuis Lindendael, Koepoortsweg 35",0405::SB31,,1270,816,1,1,0,0,0,752,67,0,1,0,1,0,0,819,58,93,127,29,74,64,90,110,43,39,12,68,9
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau ZMLK De Stormvogel, ingang Wabenstraat, van Oostzanenstr.11",0405::SB32,,1271,749,0,2,0,0,0,683,68,0,0,0,0,0,0,751,92,77,132,24,76,85,63,69,35,30,4,38,24
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Rooms Katholieke Bernardus van Bockxmeerschool, Tweeboomlaan 104",0405::SB33,,1611,863,2,5,0,0,0,778,92,0,0,0,0,0,0,870,56,87,150,66,68,71,70,108,42,37,5,84,19
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Het Stadhuis, Nieuwe Steen 1",0405::SB41,,1254,1070,2,2,0,0,0,969,105,0,0,0,0,0,0,1074,103,78,159,50,121,97,119,128,85,55,12,43,20
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau De Windvaan Openbare Daltonschool De Tweemaster, Ark 1",0405::SB42,,1214,741,1,0,0,0,0,678,64,0,0,0,0,0,0,742,51,50,108,52,61,81,64,106,41,28,11,51,37
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Wijkcentrum De Huesmolen, De Huesmolen 60",0405::SB43,,1079,845,2,0,0,0,0,760,87,0,0,0,0,0,0,847,86,45,129,38,51,95,69,138,51,49,10,50,34
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Centrum ouderenzorg Avondlicht, Geldelozeweg 66",0405::SB44,,1996,1037,4,3,0,0,0,957,87,0,0,0,0,0,0,1044,80,95,197,54,109,117,77,108,60,27,15,61,37
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare basisschool De Windvaan De Troubadour, Marketentster 5",0405::SB45,,1366,656,0,3,0,0,0,589,70,0,0,0,0,0,0,659,44,42,125,37,38,75,42,102,30,28,9,67,17
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Christelijke basisschool De Rank, De Opgang 3",0405::SB51,,1595,771,2,4,0,0,0,707,70,0,0,0,0,0,0,777,31,70,115,23,47,68,56,158,54,32,26,78,13
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare basisschool KlimOp, Akkerwinde 74",0405::SB52,,1656,517,0,3,0,0,0,460,60,0,0,0,0,0,0,520,35,38,56,28,50,51,47,78,26,33,15,45,15
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Rayonpost 2, Roskam 1",0405::SB53,,1554,680,0,0,0,0,0,608,72,0,0,0,0,0,0,680,52,50,96,28,66,84,50,112,39,34,9,50,10
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Wijkcentrum De Cogge, Akkerwinde 44",0405::SB54,,1441,634,1,2,0,0,0,577,60,0,0,0,0,0,0,637,32,45,102,34,27,47,48,112,18,41,7,94,27
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Stichting Cultureel Centrum Zwaag De Plataan, Past. Nuijenstr. 1",0405::SB61,,1414,830,3,1,0,0,0,769,65,0,0,0,0,0,0,834,95,46,85,24,235,52,94,64,34,33,10,55,3
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Centrum ouderenzorg De Perelaar, Ing. Past. Nuijenstraat",0405::SB62,,1562,809,5,1,1,0,0,740,76,0,0,0,1,0,0,816,72,46,90,27,188,74,89,58,50,43,3,53,16
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare Basisschool Socrates, Lage Hoek 71",0405::SB63,,2353,1065,1,1,0,0,0,922,145,0,0,0,0,0,0,1067,217,116,132,82,100,107,73,87,23,45,12,50,21
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Centrum ouderenzorg St. Jozefpark,Sint Josephpark 1",0405::SB71,,1329,876,0,3,0,0,0,814,65,0,0,0,0,0,0,879,121,34,89,24,214,72,59,57,82,43,5,50,26
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare basisschool De Bussel, James Grievelaan 23 A",0405::SB72,,1815,1045,1,1,0,0,0,938,109,0,0,0,0,0,0,1047,127,76,156,50,119,123,99,84,83,49,10,50,19
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Wijkcentrum Kersenboogerd, Brederodegracht 1",0405::SB81,,1586,736,2,4,0,0,0,678,64,0,0,0,0,0,0,742,47,37,104,59,64,40,50,152,63,31,3,67,19
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Multiculturele Woongemeenschap Roerdomp, Roerdomp 3 A",0405::SB82,,1582,491,4,1,0,0,0,455,41,0,0,0,0,0,0,496,32,22,65,22,45,35,49,90,28,31,6,54,12
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Westfriese Vrijeschool Parcival, Nachtegaal 146",0405::SB83,,1685,694,4,3,0,0,0,632,69,0,0,0,0,0,0,701,53,36,126,37,60,52,64,105,47,43,3,53,15
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Rooms Katholieke basisschool De Duiventil, Ceder 2",0405::SB84,,1537,705,2,5,0,0,0,653,59,0,0,0,0,0,0,712,59,51,100,41,75,53,52,117,37,39,14,46,21
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Openbare basisschool De Klipper, Locatie Dubloen, Dubloen 98",0405::SB85,,1425,696,2,3,0,0,0,630,71,0,0,0,0,0,0,701,90,45,90,28,60,78,56,81,23,51,5,63,26
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau TVH Jenaplanschool de Tandem, Boedijnhof 1",0405::SB86,,1454,684,1,1,0,0,0,622,64,0,0,0,0,0,0,686,82,74,76,27,66,92,43,72,24,47,8,53,20
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Oecumenische basisschool Dynamis, Locatie Hanebalk, Hanebalk 1",0405::SB87,,1551,772,2,0,0,0,0,707,67,0,0,0,0,0,0,774,92,60,132,39,62,64,55,92,36,49,5,69,17
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Oec. basisschool Dynamis, Locatie Stan Kentofhof, Stan Kentonhof 86",0405::SB88,,1436,887,1,3,0,0,0,803,88,0,0,0,0,0,0,891,119,76,122,24,78,110,66,90,50,61,9,63,19
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Oecumenische basisschool Het Spectrum, Volkerakweg 1",0405::SB89,,2046,967,1,1,0,2,0,849,118,0,0,2,0,0,0,967,175,107,130,54,91,119,40,64,20,84,4,56,23
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Oecumenische basisschool Het Spectrum, Volkerakweg 1",0405::SB90,,1651,834,2,3,0,0,0,721,118,0,0,0,0,0,0,839,158,80,114,58,56,114,50,54,25,55,0,55,15
,Hoorn,GR2014_Hoorn,Gemeenteraad Hoorn 2014,0405,Hoorn,2014-03-19,"Stembureau Gemeenschapsruimte Vriendschaplaan, Vriendschaplaan 69",0405::SB91,,1176,710,2,2,0,0,0,653,61,0,0,0,0,0,0,714,74,84,101,58,68,95,38,59,34,33,8,48,10
